,sex,age,monthly_income,purchased,education,product,quality
0,1,19,10,0,0,2,1
1,1,26,10,0,0,2,1
2,0,31,23,0,0,2,1
3,1,33,14,0,0,2,1
4,0,33,20,0,0,2,1
5,1,31,22,0,0,2,1
6,0,20,27,0,0,2,1
7,0,33,13,0,0,2,1
8,1,35,24,0,0,2,1
9,1,28,10,0,0,2,1
10,1,24,28,0,0,2,1
11,0,19,10,0,0,2,1
12,1,29,14,0,0,2,1
13,1,19,23,0,0,2,1
14,1,28,29,0,0,2,1
15,1,34,14,0,0,2,1
16,0,30,26,0,0,2,1
17,0,20,12,0,0,2,1
18,0,46,32,0,0,2,1
19,1,40,26,0,0,2,1
20,1,49,21,0,0,2,1
21,1,47,14,0,0,2,1
22,1,35,19,0,0,2,1
23,0,59,14,0,0,2,1
24,0,31,11,0,0,2,1
25,0,46,10,0,0,2,1
26,0,47,15,0,0,2,1
27,0,41,23,0,0,2,1
28,1,49,24,0,0,2,1
29,1,35,13,0,0,2,1
30,1,36,11,0,0,2,1
31,1,26,26,0,0,2,1
32,0,52,38,0,0,2,1
33,0,41,26,0,0,2,1
34,1,24,10,0,0,2,1
35,0,35,15,0,0,2,1
36,0,18,22,0,0,2,1
37,1,35,19,0,0,2,1
38,1,30,29,0,0,2,1
39,0,34,10,0,0,2,1
40,0,24,29,0,0,2,1
41,0,41,10,0,0,2,1
42,1,29,20,0,0,2,1
43,1,20,24,0,0,2,1
44,0,26,10,0,0,2,1
45,1,41,15,0,0,2,1
46,1,31,25,0,0,2,1
47,0,36,16,0,0,2,1
48,1,40,15,0,0,2,1
49,0,31,10,0,0,2,1
50,1,46,19,0,0,2,1
51,1,29,25,0,0,2,1
52,1,26,10,0,0,2,1
53,0,23,10,0,0,2,1
54,0,34,24,0,0,2,1
55,0,34,14,0,0,2,1
56,0,26,39,0,0,2,1
57,1,34,38,0,0,2,1
58,1,21,29,0,0,2,1
59,1,25,10,0,0,2,1
60,0,29,15,0,0,2,1
61,0,22,18,0,0,2,1
62,0,18,28,0,0,2,1
63,0,33,23,0,0,2,1
64,1,35,12,0,0,2,1
65,0,37,11,0,0,2,1
66,1,25,30,0,0,2,1
67,0,35,23,0,0,2,1
68,1,19,28,0,0,2,1
69,0,35,20,0,0,2,1
70,0,40,24,0,0,2,1
71,0,39,26,0,0,2,1
72,1,35,18,0,0,2,1
73,1,36,20,0,0,2,1
74,1,41,17,0,0,2,1
75,0,41,20,0,0,2,1
76,1,41,24,0,0,2,1
77,0,42,25,0,0,2,1
78,1,38,17,0,0,2,1
79,1,42,21,0,0,2,1
80,1,40,21,0,1,2,1
81,0,36,18,0,1,2,1
