,age,monthly_income,sex,education,product,quality,purchased
0,18,42,1,0,3,1,1
1,20,58,0,0,3,1,1
2,28,54,0,0,3,1,1
3,27,46,0,0,3,1,1
4,18,43,0,0,3,1,1
5,20,56,0,0,3,1,1
6,29,47,0,0,3,1,1
7,23,56,0,0,3,1,1
8,18,56,1,0,3,1,1
9,18,43,0,0,3,1,1
10,30,45,1,0,3,1,1
11,22,46,1,0,3,1,1
12,21,57,0,0,3,1,1
13,27,44,0,0,3,1,1
14,24,53,0,0,3,1,1
15,24,48,0,0,3,1,1
16,22,50,1,0,3,1,1
17,28,55,0,0,3,1,1
18,26,47,1,0,3,1,1
19,29,44,0,0,3,1,1
20,19,54,1,0,3,1,1
21,21,48,0,0,3,1,1
22,19,49,1,0,3,1,1
23,30,49,0,0,3,1,1
24,28,52,0,0,3,1,1
25,23,60,0,0,3,1,1
26,24,57,0,0,3,1,1
27,20,51,0,0,3,1,1
28,26,41,0,0,3,1,1
29,20,59,1,0,3,1,1
30,21,60,0,0,3,1,1
31,22,55,1,0,3,1,1
32,19,43,0,0,3,1,1
33,22,59,0,0,3,1,1
34,21,60,0,0,3,1,1
35,23,46,0,0,3,1,1
36,27,43,1,0,3,1,1
37,28,44,0,0,3,1,1
38,20,59,0,0,3,1,1
39,26,50,0,0,3,1,1
40,21,60,0,0,3,1,1
41,30,52,0,0,3,1,1
42,18,50,0,0,3,1,1
43,30,52,1,0,3,1,1
44,28,50,0,0,3,1,1
45,30,58,0,0,3,1,1
46,21,57,0,0,3,1,1
47,19,42,0,0,3,1,1
48,26,45,0,0,3,1,1
49,24,46,0,0,3,1,1
50,26,45,0,0,3,1,1
51,23,54,0,0,3,1,1
52,23,58,0,0,3,1,1
53,27,59,0,0,3,1,1
54,26,52,0,0,3,1,1
55,20,54,1,0,3,1,1
56,21,58,1,0,3,1,1
57,28,42,0,0,3,1,1
58,28,53,1,0,3,1,1
59,25,52,0,0,3,1,1
60,24,45,0,0,3,1,1
61,23,48,0,0,3,1,1
62,22,47,0,0,3,1,1
63,25,44,1,0,3,1,1
64,30,41,0,0,3,1,1
65,24,57,0,0,3,1,1
66,26,40,0,0,3,1,1
67,26,59,0,0,3,1,1
68,19,57,1,0,3,1,1
69,24,57,0,0,3,1,1
70,25,57,1,0,3,1,1
71,22,45,1,0,3,1,1
72,26,46,1,0,3,1,1
73,24,45,1,0,3,1,1
74,18,43,0,0,3,1,1
75,18,49,1,0,3,1,1
76,28,60,0,0,3,1,1
77,26,60,1,0,3,1,1
78,19,46,0,0,3,1,1
79,28,50,0,0,3,1,1
80,19,47,0,0,3,1,1
81,22,49,1,0,3,1,1
82,29,50,1,0,3,1,1
83,28,60,0,0,3,1,1
84,21,55,0,0,3,1,1
85,28,50,0,0,3,1,1
86,30,52,0,0,3,1,1
87,18,55,0,0,3,1,1
88,27,53,1,0,3,1,1
89,24,45,1,0,3,1,1
90,20,42,0,0,3,1,1
91,21,40,1,0,3,1,1
92,30,43,0,0,3,1,1
93,24,47,0,0,3,1,1
94,18,43,0,0,3,1,1
95,21,59,0,0,3,1,1
96,28,47,0,0,3,1,1
97,26,49,0,0,3,1,1
98,21,47,0,0,3,1,1
99,21,54,1,0,3,1,1
100,24,41,1,0,3,1,1
101,30,52,0,0,3,1,1
102,25,43,1,0,3,1,1
103,18,48,0,0,3,1,1
104,18,50,1,0,3,1,1
105,27,45,0,0,3,1,1
106,25,51,0,0,3,1,1
107,23,40,0,0,3,1,1
108,25,54,1,0,3,1,1
109,21,55,1,0,3,1,1
110,22,40,0,0,3,1,1
111,26,42,0,0,3,1,1
112,20,60,1,0,3,1,1
113,20,47,0,0,3,1,1
114,25,50,1,0,3,1,1
115,20,57,1,0,3,1,1
116,23,51,0,0,3,1,1
117,21,55,0,0,3,1,1
118,29,42,1,0,3,1,1
119,26,49,0,0,3,1,1
120,29,51,0,0,3,1,1
121,22,49,0,0,3,1,1
122,19,56,0,0,3,1,1
123,22,59,0,0,3,1,1
124,21,59,0,0,3,1,1
125,22,44,1,0,3,1,1
126,30,41,0,0,3,1,1
127,21,57,1,0,3,1,1
128,18,43,0,0,3,1,1
129,18,41,0,0,3,1,1
130,20,58,1,0,3,1,1
131,30,40,0,0,3,1,1
132,21,59,0,0,3,1,1
133,18,40,0,0,3,1,1
134,21,49,0,0,3,1,1
135,29,50,0,0,3,1,1
136,23,59,1,0,3,1,1
137,30,43,1,0,3,1,1
138,23,53,1,0,3,1,1
139,26,40,1,0,3,1,1
140,18,60,0,0,3,1,1
141,30,59,1,0,3,1,1
142,21,52,0,0,3,1,1
143,21,45,1,0,3,1,1
144,20,52,1,0,3,1,1
145,20,46,1,0,3,1,1
146,21,52,1,0,3,1,1
147,22,53,1,0,3,1,1
148,18,47,0,0,3,1,1
149,23,46,0,0,3,1,1
150,23,45,0,0,3,1,1
151,26,45,1,0,3,1,1
152,18,46,0,0,3,1,1
153,26,40,0,0,3,1,1
154,23,54,0,0,3,1,1
155,23,50,1,0,3,1,1
156,21,41,1,0,3,1,1
157,23,51,1,0,3,1,1
158,18,59,0,0,3,1,1
159,24,48,0,0,3,1,1
160,27,54,0,0,3,1,1
161,26,57,0,0,3,1,1
162,30,56,0,0,3,1,1
163,28,40,1,0,3,1,1
164,21,52,0,0,3,1,1
165,20,47,0,0,3,1,1
166,22,50,0,0,3,1,1
167,30,49,1,0,3,1,1
168,18,42,0,0,3,1,1
169,25,49,1,0,3,1,1
170,21,53,0,0,3,1,1
171,30,57,0,0,3,1,1
172,27,52,1,0,3,1,1
173,30,56,0,0,3,1,1
174,30,51,0,0,3,1,1
175,30,48,0,0,3,1,1
176,21,43,0,0,3,1,1
177,26,55,0,0,3,1,1
178,29,53,0,0,3,1,1
179,22,52,0,0,3,1,1
180,22,42,1,0,3,1,1
181,29,54,1,0,3,1,1
182,29,48,0,0,3,1,1
183,29,52,1,0,3,1,1
184,27,42,0,0,3,1,1
185,22,43,0,0,3,1,1
186,29,56,0,0,3,1,1
187,21,53,1,0,3,1,1
188,23,56,0,0,3,1,1
189,18,54,1,0,3,1,1
190,26,45,0,0,3,1,1
191,24,49,0,0,3,1,1
192,22,46,1,0,3,1,1
193,18,60,0,0,3,1,1
194,29,46,0,0,3,1,1
195,28,50,0,0,3,1,1
196,23,54,0,0,3,1,1
197,21,48,0,0,3,1,1
198,29,57,0,0,3,1,1
199,24,43,0,0,3,1,1
200,20,52,0,0,3,1,1
201,26,57,0,0,3,1,1
202,27,50,0,0,3,1,1
203,29,41,0,0,3,1,1
204,26,54,0,0,3,1,1
205,22,55,0,0,3,1,1
206,25,44,0,0,3,1,1
207,18,47,0,0,3,1,1
208,29,47,1,0,3,1,1
209,26,57,1,0,3,1,1
210,20,55,1,0,3,1,1
211,24,47,0,0,3,1,1
212,26,47,1,0,3,1,1
213,26,58,0,0,3,1,1
214,30,46,0,0,3,1,1
215,23,44,1,0,3,1,1
216,30,60,1,0,3,1,1
217,20,52,0,0,3,1,1
218,26,41,0,0,3,1,1
219,18,56,0,0,3,1,1
220,24,49,0,0,3,1,1
221,23,44,0,0,3,1,1
222,23,48,0,0,3,1,1
223,24,59,1,0,3,1,1
224,25,42,0,0,3,1,1
225,25,53,1,0,3,1,1
226,30,46,0,0,3,1,1
227,18,56,0,0,3,1,1
228,24,45,1,0,3,1,1
229,24,48,0,0,3,1,1
230,18,59,0,0,3,1,1
231,21,44,0,0,3,1,1
232,30,58,1,0,3,1,1
233,27,47,0,0,3,1,1
234,25,41,0,0,3,1,1
235,23,54,1,0,3,1,1
236,20,45,0,0,3,1,1
237,19,47,0,0,3,1,1
238,29,54,0,0,3,1,1
239,19,60,1,0,3,1,1
240,20,43,1,0,3,1,1
241,23,60,0,0,3,1,1
242,26,54,0,0,3,1,1
243,25,53,0,0,3,1,1
244,20,55,0,0,3,1,1
245,23,60,1,0,3,1,1
246,29,41,1,0,3,1,1
247,29,53,0,0,3,1,1
248,23,57,1,0,3,1,1
249,30,47,0,0,3,1,1
250,25,65,1,0,3,1,1
251,27,72,0,0,3,1,1
252,24,72,1,0,3,1,1
253,21,61,0,0,3,1,1
254,27,80,0,0,3,1,1
255,28,73,0,0,3,1,1
256,18,79,0,0,3,1,1
257,23,62,0,0,3,1,1
258,19,71,0,0,3,1,1
259,18,76,0,0,3,1,1
260,30,77,0,0,3,1,1
261,18,67,1,0,3,1,1
262,22,65,0,0,3,1,1
263,28,79,0,0,3,1,1
264,29,64,0,0,3,1,1
265,28,74,0,0,3,1,1
266,20,66,0,0,3,1,1
267,28,77,0,0,3,1,1
268,30,64,1,0,3,1,1
269,21,76,0,0,3,1,1
270,21,74,0,0,3,1,1
271,25,62,0,0,3,1,1
272,22,60,1,0,3,1,1
273,19,80,0,0,3,1,1
274,23,67,1,0,3,1,1
275,30,63,1,0,3,1,1
276,20,80,0,0,3,1,1
277,19,69,1,0,3,1,1
278,23,69,0,0,3,1,1
279,28,75,0,0,3,1,1
280,25,62,0,0,3,1,1
281,27,80,0,0,3,1,1
282,22,65,0,0,3,1,1
283,18,80,0,0,3,1,1
284,29,65,0,0,3,1,1
285,22,78,0,0,3,1,1
286,27,76,0,0,3,1,1
287,25,72,0,0,3,1,1
288,20,64,0,0,3,1,1
289,23,72,1,0,3,1,1
290,22,60,0,0,3,1,1
291,21,62,1,0,3,1,1
292,19,66,1,0,3,1,1
293,26,67,0,0,3,1,1
294,21,74,0,0,3,1,1
295,20,61,0,0,3,1,1
296,30,66,0,0,3,1,1
297,25,80,0,0,3,1,1
298,25,80,1,0,3,1,1
299,18,72,1,0,3,1,1
300,28,67,0,0,3,1,1
301,29,77,0,0,3,1,1
302,30,78,0,0,3,1,1
303,25,77,0,0,3,1,1
304,27,63,0,0,3,1,1
305,27,69,0,0,3,1,1
306,20,62,1,0,3,1,1
307,22,65,0,0,3,1,1
308,25,77,0,0,3,1,1
309,26,65,1,0,3,1,1
310,23,63,0,0,3,1,1
311,25,68,0,0,3,1,1
312,27,61,0,0,3,1,1
313,23,76,1,0,3,1,1
314,27,75,0,0,3,1,1
315,23,66,0,0,3,1,1
316,22,66,0,0,3,1,1
317,21,73,1,0,3,1,1
318,18,60,1,0,3,1,1
319,24,76,0,0,3,1,1
320,28,76,0,0,3,1,1
321,21,74,1,0,3,1,1
322,21,71,0,0,3,1,1
323,22,74,1,0,3,1,1
324,21,64,0,0,3,1,1
325,19,66,1,0,3,1,1
326,20,80,0,0,3,1,1
327,28,73,0,0,3,1,1
328,29,78,0,0,3,1,1
329,27,66,0,0,3,1,1
330,30,76,0,0,3,1,1
331,20,79,1,0,3,1,1
332,25,73,1,0,3,1,1
333,26,79,0,0,3,1,1
334,26,68,0,0,3,1,1
335,21,77,0,0,3,1,1
336,25,67,0,0,3,1,1
337,18,75,0,0,3,1,1
338,26,60,0,0,3,1,1
339,28,62,0,0,3,1,1
340,30,69,1,0,3,1,1
341,19,60,1,0,3,1,1
342,28,70,0,0,3,1,1
343,25,69,1,0,3,1,1
344,25,64,0,0,3,1,1
345,30,78,0,0,3,1,1
346,25,72,0,0,3,1,1
347,25,79,1,0,3,1,1
348,30,80,0,0,3,1,1
349,28,68,0,0,3,1,1
350,27,75,1,0,3,1,1
351,28,71,1,0,3,1,1
352,30,75,1,0,3,1,1
353,24,79,0,0,3,1,1
354,30,71,0,0,3,1,1
355,25,80,1,0,3,1,1
356,20,60,0,0,3,1,1
357,23,76,0,0,3,1,1
358,24,78,0,0,3,1,1
359,21,65,1,0,3,1,1
360,24,78,0,0,3,1,1
361,23,78,0,0,3,1,1
362,22,65,0,0,3,1,1
363,22,70,1,0,3,1,1
364,19,73,0,0,3,1,1
365,27,63,0,0,3,1,1
366,21,66,0,0,3,1,1
367,30,64,1,0,3,1,1
368,20,66,0,0,3,1,1
369,19,79,1,0,3,1,1
370,28,78,0,0,3,1,1
371,20,79,0,0,3,1,1
372,25,69,0,0,3,1,1
373,28,64,0,0,3,1,1
374,23,60,1,0,3,1,1
375,24,75,0,0,3,1,1
376,25,67,0,0,3,1,1
377,27,61,0,0,3,1,1
378,19,75,0,0,3,1,1
379,26,66,1,0,3,1,1
380,30,73,1,0,3,1,1
381,23,60,0,0,3,1,1
382,26,66,1,0,3,1,1
383,27,79,0,0,3,1,1
384,23,71,1,0,3,1,1
385,28,78,1,0,3,1,1
386,26,60,1,0,3,1,1
387,21,79,0,0,3,1,1
388,25,61,1,0,3,1,1
389,18,73,1,0,3,1,1
390,25,77,0,0,3,1,1
391,18,80,1,0,3,1,1
392,24,74,0,0,3,1,1
393,19,72,1,0,3,1,1
394,18,79,0,0,3,1,1
395,22,65,0,0,3,1,1
396,25,69,1,0,3,1,1
397,25,69,0,0,3,1,1
398,18,80,1,0,3,1,1
399,21,77,1,0,3,1,1
400,20,71,0,0,3,1,1
401,26,62,1,0,3,1,1
402,25,70,0,0,3,1,1
403,30,69,0,0,3,1,1
404,30,68,0,0,3,1,1
405,22,69,0,0,3,1,1
406,25,79,0,0,3,1,1
407,18,66,0,0,3,1,1
408,26,71,0,0,3,1,1
409,19,64,1,0,3,1,1
410,19,61,0,0,3,1,1
411,25,62,0,0,3,1,1
412,21,78,1,0,3,1,1
413,30,74,0,0,3,1,1
414,24,60,1,0,3,1,1
415,19,67,1,0,3,1,1
416,20,73,0,0,3,1,1
417,23,63,0,0,3,1,1
418,30,62,0,0,3,1,1
419,30,63,0,0,3,1,1
420,25,64,0,0,3,1,1
421,28,64,0,0,3,1,1
422,24,78,0,0,3,1,1
423,29,74,1,0,3,1,1
424,28,72,0,0,3,1,1
425,28,78,0,0,3,1,1
426,24,75,1,0,3,1,1
427,19,79,1,0,3,1,1
428,28,73,0,0,3,1,1
429,26,75,1,0,3,1,1
430,23,70,1,0,3,1,1
431,27,79,0,0,3,1,1
432,30,61,1,0,3,1,1
433,28,68,1,0,3,1,1
434,26,73,0,0,3,1,1
435,20,71,0,0,3,1,1
436,28,68,0,0,3,1,1
437,30,65,0,0,3,1,1
438,30,69,1,0,3,1,1
439,23,71,1,0,3,1,1
440,22,74,1,0,3,1,1
441,28,75,0,0,3,1,1
442,20,79,0,0,3,1,1
443,30,73,1,0,3,1,1
444,23,75,0,0,3,1,1
445,19,74,1,0,3,1,1
446,21,68,0,0,3,1,1
447,22,75,0,0,3,1,1
448,23,70,0,0,3,1,1
449,25,80,0,0,3,1,1
450,25,74,0,0,3,1,1
451,30,61,0,0,3,1,1
452,21,67,1,0,3,1,1
453,25,60,1,0,3,1,1
454,18,74,0,0,3,1,1
455,25,78,0,0,3,1,1
456,20,70,0,0,3,1,1
457,28,64,0,0,3,1,1
458,27,60,0,0,3,1,1
459,28,60,0,0,3,1,1
460,29,73,0,0,3,1,1
461,26,76,0,0,3,1,1
462,22,79,0,0,3,1,1
463,26,72,0,0,3,1,1
464,19,60,1,0,3,1,1
465,28,67,0,0,3,1,1
466,19,67,0,0,3,1,1
467,21,62,1,0,3,1,1
468,29,67,1,0,3,1,1
469,24,73,0,0,3,1,1
470,23,76,0,0,3,1,1
471,26,72,0,0,3,1,1
472,30,71,0,0,3,1,1
473,28,73,0,0,3,1,1
474,22,78,0,0,3,1,1
475,27,76,1,0,3,1,1
476,21,66,0,0,3,1,1
477,27,71,0,0,3,1,1
478,18,78,0,0,3,1,1
479,21,77,1,0,3,1,1
480,30,77,0,0,3,1,1
481,30,67,0,0,3,1,1
482,25,70,1,0,3,1,1
483,26,77,0,0,3,1,1
484,20,80,0,0,3,1,1
485,24,79,1,0,3,1,1
486,30,63,0,0,3,1,1
487,27,79,0,0,3,1,1
488,23,64,0,0,3,1,1
489,24,78,0,0,3,1,1
490,26,77,0,0,3,1,1
491,19,76,0,0,3,1,1
492,22,64,0,0,3,1,1
493,22,75,0,0,3,1,1
494,24,62,1,0,3,1,1
495,22,63,0,0,3,1,1
496,24,78,0,0,3,1,1
497,30,72,1,0,3,1,1
498,18,76,0,0,3,1,1
499,29,68,0,0,3,1,1
500,25,71,0,1,3,1,1
501,22,66,0,1,3,1,1
502,18,69,0,1,3,1,1
503,23,62,0,1,3,1,1
504,25,79,1,1,3,1,1
505,25,63,0,1,3,1,1
506,25,73,0,1,3,1,1
507,30,65,0,1,3,1,1
508,27,73,1,1,3,1,1
509,29,74,1,1,3,1,1
510,21,78,0,1,3,1,1
511,24,70,0,1,3,1,1
512,20,70,0,1,3,1,1
513,24,67,0,1,3,1,1
514,21,74,0,1,3,1,1
515,27,77,0,1,3,1,1
516,24,64,0,1,3,1,1
517,20,65,0,1,3,1,1
518,21,61,0,1,3,1,1
519,29,60,0,1,3,1,1
520,30,75,0,1,3,1,1
521,28,65,1,1,3,1,1
522,19,65,0,1,3,1,1
523,22,79,0,1,3,1,1
524,25,74,0,1,3,1,1
525,18,80,0,1,3,1,1
526,20,65,0,1,3,1,1
527,20,61,1,1,3,1,1
528,25,80,0,1,3,1,1
529,23,60,0,1,3,1,1
530,20,70,1,1,3,1,1
531,26,75,1,1,3,1,1
532,18,73,0,1,3,1,1
533,20,62,0,1,3,1,1
534,23,77,1,1,3,1,1
535,25,64,0,1,3,1,1
536,20,69,0,1,3,1,1
537,27,60,1,1,3,1,1
538,24,74,1,1,3,1,1
539,28,63,1,1,3,1,1
540,18,66,0,1,3,1,1
541,26,64,0,1,3,1,1
542,19,78,0,1,3,1,1
543,21,69,1,1,3,1,1
544,23,63,0,1,3,1,1
545,23,63,0,1,3,1,1
546,28,78,1,1,3,1,1
547,19,80,0,1,3,1,1
548,18,63,0,1,3,1,1
549,25,72,1,1,3,1,1
550,26,64,0,1,3,1,1
551,22,65,0,1,3,1,1
552,30,70,0,1,3,1,1
553,19,63,0,1,3,1,1
554,22,76,0,1,3,1,1
555,30,73,1,1,3,1,1
556,23,60,0,1,3,1,1
557,21,69,0,1,3,1,1
558,25,72,0,1,3,1,1
559,27,77,0,1,3,1,1
560,20,65,0,1,3,1,1
561,24,70,1,1,3,1,1
