,age,monthly_income,sex,education,product,quality,purchased
0,25,59,0,0,1,1,1
1,28,53,0,0,1,1,1
2,18,47,0,0,1,1,1
3,27,47,0,0,1,1,1
4,24,59,0,0,1,1,1
5,28,51,0,0,1,1,1
6,24,43,0,0,1,1,1
7,27,50,1,0,1,1,1
8,22,57,0,0,1,1,1
9,19,41,0,0,1,1,1
10,18,52,0,0,1,1,1
11,27,51,0,0,1,1,1
12,21,43,0,0,1,1,1
13,21,58,0,0,1,1,1
14,26,58,1,0,1,1,1
15,26,41,1,0,1,1,1
16,22,40,1,0,1,1,1
17,27,53,0,0,1,1,1
18,26,60,0,0,1,1,1
19,23,58,0,0,1,1,1
20,24,56,1,0,1,1,1
21,23,59,0,0,1,1,1
22,23,58,0,0,1,1,1
23,19,46,0,0,1,1,1
24,30,45,0,0,1,1,1
25,29,43,0,0,1,1,1
26,23,41,0,0,1,1,1
27,23,54,1,0,1,1,1
28,30,55,1,0,1,1,1
29,18,58,0,0,1,1,1
30,29,51,0,0,1,1,1
31,20,60,0,0,1,1,1
32,30,52,0,0,1,1,1
33,28,40,0,0,1,1,1
34,30,58,0,0,1,1,1
35,18,43,0,0,1,1,1
36,18,59,0,0,1,1,1
37,19,58,0,0,1,1,1
38,20,53,0,0,1,1,1
39,30,54,1,0,1,1,1
40,24,53,1,0,1,1,1
41,24,44,0,0,1,1,1
42,26,41,0,0,1,1,1
43,26,47,0,0,1,1,1
44,26,43,0,0,1,1,1
45,23,55,1,0,1,1,1
46,20,41,0,0,1,1,1
47,18,51,1,0,1,1,1
48,25,48,0,0,1,1,1
49,26,57,1,0,1,1,1
50,20,53,0,0,1,1,1
51,30,51,0,0,1,1,1
52,23,56,0,0,1,1,1
53,18,58,1,0,1,1,1
54,29,56,0,0,1,1,1
55,25,57,0,0,1,1,1
56,23,52,1,0,1,1,1
57,30,60,0,0,1,1,1
58,29,41,0,0,1,1,1
59,22,40,0,0,1,1,1
60,27,45,0,0,1,1,1
61,24,54,0,0,1,1,1
62,18,48,0,0,1,1,1
63,26,51,0,0,1,1,1
64,23,60,0,0,1,1,1
65,19,46,1,0,1,1,1
66,19,45,0,0,1,1,1
67,21,46,0,0,1,1,1
68,29,50,0,0,1,1,1
69,24,54,1,0,1,1,1
70,29,56,0,0,1,1,1
71,26,44,0,0,1,1,1
72,27,53,0,0,1,1,1
73,27,41,0,0,1,1,1
74,22,46,0,0,1,1,1
75,22,56,1,0,1,1,1
76,29,57,0,0,1,1,1
77,19,53,0,0,1,1,1
78,25,46,0,0,1,1,1
79,24,57,0,0,1,1,1
80,30,59,0,0,1,1,1
81,24,44,0,0,1,1,1
82,28,42,1,0,1,1,1
83,29,52,0,0,1,1,1
84,22,58,0,0,1,1,1
85,23,52,0,0,1,1,1
86,21,46,0,0,1,1,1
87,27,42,0,0,1,1,1
88,26,55,0,0,1,1,1
89,22,57,0,0,1,1,1
90,25,43,0,0,1,1,1
91,24,59,1,0,1,1,1
92,21,47,1,0,1,1,1
93,23,56,0,0,1,1,1
94,22,48,0,0,1,1,1
95,28,54,0,0,1,1,1
96,19,49,0,0,1,1,1
97,23,56,0,0,1,1,1
98,20,54,1,0,1,1,1
99,19,40,0,0,1,1,1
100,19,54,1,0,1,1,1
101,19,49,0,0,1,1,1
102,18,43,0,0,1,1,1
103,22,49,0,0,1,1,1
104,18,58,1,0,1,1,1
105,23,42,0,0,1,1,1
106,30,47,1,0,1,1,1
107,24,46,0,0,1,1,1
108,25,60,0,0,1,1,1
109,23,49,0,0,1,1,1
110,24,60,0,0,1,1,1
111,26,44,1,0,1,1,1
112,18,43,0,0,1,1,1
113,26,59,0,0,1,1,1
114,20,44,0,0,1,1,1
