,age,monthly_income,sex,education,product,quality,purchased
0,30,54,0,0,2,1,1
1,29,42,0,0,2,1,1
2,18,50,0,0,2,1,1
3,25,50,0,0,2,1,1
4,24,44,0,0,2,1,1
5,27,56,0,0,2,1,1
6,21,44,0,0,2,1,1
7,23,49,0,0,2,1,1
8,19,51,0,0,2,1,1
9,19,57,0,0,2,1,1
10,18,55,0,0,2,1,1
11,21,54,0,0,2,1,1
12,19,49,0,0,2,1,1
13,25,50,0,0,2,1,1
14,27,52,0,0,2,1,1
15,20,56,0,0,2,1,1
16,22,48,0,0,2,1,1
17,30,54,0,0,2,1,1
18,28,56,0,0,2,1,1
19,21,41,0,0,2,1,1
20,23,42,0,0,2,1,1
21,21,51,0,0,2,1,1
22,19,56,0,0,2,1,1
23,25,45,1,0,2,1,1
24,22,56,0,0,2,1,1
25,22,48,0,0,2,1,1
26,28,45,1,0,2,1,1
27,28,42,0,0,2,1,1
28,28,59,1,0,2,1,1
29,28,55,0,0,2,1,1
30,29,43,0,0,2,1,1
31,29,60,0,0,2,1,1
32,24,47,0,0,2,1,1
33,26,52,0,0,2,1,1
34,22,50,0,0,2,1,1
35,26,53,0,0,2,1,1
36,27,56,0,0,2,1,1
37,19,52,0,0,2,1,1
38,23,60,0,0,2,1,1
39,21,56,0,0,2,1,1
40,29,48,0,0,2,1,1
41,20,60,0,0,2,1,1
42,29,51,0,0,2,1,1
43,28,48,0,0,2,1,1
44,22,50,1,0,2,1,1
45,29,58,0,0,2,1,1
46,20,45,0,0,2,1,1
47,19,58,0,0,2,1,1
48,20,42,0,0,2,1,1
49,21,44,0,0,2,1,1
50,20,44,0,0,2,1,1
51,29,48,0,0,2,1,1
52,23,57,0,0,2,1,1
53,27,44,0,0,2,1,1
54,21,44,0,0,2,1,1
55,27,52,0,0,2,1,1
56,27,56,0,0,2,1,1
57,24,58,0,0,2,1,1
58,22,43,0,0,2,1,1
59,30,45,0,0,2,1,1
60,29,59,0,0,2,1,1
61,22,41,0,0,2,1,1
62,22,43,0,0,2,1,1
63,25,55,0,0,2,1,1
64,19,40,0,0,2,1,1
65,26,48,0,0,2,1,1
66,19,59,0,0,2,1,1
67,22,43,0,0,2,1,1
68,27,60,0,0,2,1,1
69,18,60,0,0,2,1,1
70,21,51,0,0,2,1,1
71,25,54,0,0,2,1,1
72,20,55,0,0,2,1,1
73,23,58,0,0,2,1,1
74,21,41,0,0,2,1,1
75,21,47,0,0,2,1,1
76,19,57,0,0,2,1,1
77,25,52,1,0,2,1,1
78,26,44,1,0,2,1,1
79,27,48,0,0,2,1,1
80,28,49,1,0,2,1,1
81,29,58,0,0,2,1,1
82,22,47,0,0,2,1,1
83,29,49,1,0,2,1,1
84,23,58,0,0,2,1,1
85,25,58,0,0,2,1,1
86,24,57,0,0,2,1,1
87,20,50,0,0,2,1,1
88,21,42,0,0,2,1,1
89,25,55,0,0,2,1,1
90,19,49,0,0,2,1,1
91,20,49,1,0,2,1,1
92,21,57,0,0,2,1,1
93,28,56,0,0,2,1,1
94,29,40,0,0,2,1,1
95,23,53,0,0,2,1,1
96,21,57,0,0,2,1,1
97,30,57,0,0,2,1,1
98,27,54,0,0,2,1,1
99,24,58,0,0,2,1,1
100,27,42,0,0,2,1,1
101,18,53,0,0,2,1,1
102,18,40,0,0,2,1,1
103,20,44,0,0,2,1,1
104,28,51,0,0,2,1,1
105,26,40,0,0,2,1,1
106,21,44,0,0,2,1,1
107,21,48,0,0,2,1,1
108,23,58,1,0,2,1,1
109,21,45,0,0,2,1,1
110,26,49,1,0,2,1,1
111,22,41,0,0,2,1,1
112,24,48,0,0,2,1,1
113,24,54,0,0,2,1,1
114,27,48,0,0,2,1,1
115,27,56,1,0,2,1,1
116,25,41,0,0,2,1,1
117,20,51,0,0,2,1,1
118,28,56,0,0,2,1,1
119,28,47,0,0,2,1,1
120,25,44,1,0,2,1,1
121,27,44,1,0,2,1,1
122,26,45,1,0,2,1,1
123,26,55,0,0,2,1,1
124,25,40,0,0,2,1,1
125,18,59,0,0,2,1,1
126,23,58,0,0,2,1,1
127,21,45,0,0,2,1,1
128,20,43,0,0,2,1,1
129,23,48,0,0,2,1,1
130,20,58,0,0,2,1,1
131,29,56,0,0,2,1,1
132,26,47,0,0,2,1,1
133,18,42,0,0,2,1,1
134,27,51,0,0,2,1,1
135,21,60,1,0,2,1,1
136,24,48,0,0,2,1,1
137,23,49,0,0,2,1,1
138,26,57,0,0,2,1,1
139,26,44,0,0,2,1,1
140,30,51,0,0,2,1,1
141,22,57,1,0,2,1,1
142,22,54,0,0,2,1,1
143,19,57,0,0,2,1,1
144,24,60,0,0,2,1,1
145,30,53,0,0,2,1,1
146,29,55,0,0,2,1,1
147,25,52,0,0,2,1,1
148,23,59,1,0,2,1,1
149,20,49,0,0,2,1,1
150,20,52,0,0,2,1,1
151,26,52,0,0,2,1,1
152,23,40,0,0,2,1,1
153,24,43,1,0,2,1,1
154,23,40,0,0,2,1,1
155,26,58,0,0,2,1,1
156,22,41,0,0,2,1,1
157,24,41,0,0,2,1,1
158,27,45,0,0,2,1,1
159,25,48,0,0,2,1,1
160,18,49,0,0,2,1,1
161,21,44,0,0,2,1,1
162,30,42,0,0,2,1,1
163,28,44,0,0,2,1,1
164,30,51,0,0,2,1,1
165,25,49,0,0,2,1,1
166,20,47,0,0,2,1,1
167,30,40,1,0,2,1,1
168,30,58,0,0,2,1,1
169,21,58,0,0,2,1,1
170,18,43,1,0,2,1,1
171,30,42,0,0,2,1,1
172,27,47,0,0,2,1,1
173,25,58,0,0,2,1,1
174,22,59,0,0,2,1,1
175,28,41,0,0,2,1,1
176,18,40,1,0,2,1,1
177,19,59,0,0,2,1,1
178,22,50,0,0,2,1,1
179,18,58,0,0,2,1,1
180,30,46,0,0,2,1,1
181,27,43,0,0,2,1,1
182,19,56,0,0,2,1,1
183,25,57,0,0,2,1,1
184,24,55,0,0,2,1,1
185,24,51,0,0,2,1,1
186,18,57,0,0,2,1,1
187,24,58,0,0,2,1,1
188,26,41,0,0,2,1,1
189,25,55,0,0,2,1,1
190,19,44,0,0,2,1,1
191,22,42,0,0,2,1,1
192,23,48,0,0,2,1,1
193,30,59,1,0,2,1,1
194,20,59,0,0,2,1,1
195,29,42,0,0,2,1,1
196,24,57,0,0,2,1,1
197,21,43,1,0,2,1,1
198,28,58,0,0,2,1,1
199,19,52,0,0,2,1,1
200,29,48,0,0,2,1,1
201,22,55,0,0,2,1,1
202,27,55,1,0,2,1,1
203,25,58,0,0,2,1,1
204,23,45,0,0,2,1,1
205,29,54,0,0,2,1,1
206,21,57,0,0,2,1,1
207,29,49,1,0,2,1,1
208,20,58,1,0,2,1,1
209,20,57,0,0,2,1,1
210,19,46,0,0,2,1,1
211,29,40,0,0,2,1,1
212,30,44,0,0,2,1,1
213,22,42,0,0,2,1,1
214,18,50,0,0,2,1,1
215,20,51,0,0,2,1,1
216,23,49,1,0,2,1,1
217,18,59,0,0,2,1,1
218,25,58,0,0,2,1,1
219,20,55,0,0,2,1,1
220,22,59,0,0,2,1,1
221,19,42,0,0,2,1,1
222,26,50,1,0,2,1,1
223,23,50,0,0,2,1,1
224,30,54,0,0,2,1,1
225,23,59,1,0,2,1,1
226,29,40,0,0,2,1,1
227,24,50,0,0,2,1,1
228,18,55,0,0,2,1,1
229,24,52,0,0,2,1,1
230,23,53,1,0,2,1,1
231,27,48,0,0,2,1,1
232,27,52,0,0,2,1,1
233,22,58,0,0,2,1,1
234,28,58,0,0,2,1,1
235,29,57,0,0,2,1,1
236,21,51,0,0,2,1,1
237,24,43,1,0,2,1,1
238,21,54,0,0,2,1,1
239,28,58,0,0,2,1,1
240,23,42,0,0,2,1,1
241,18,44,1,0,2,1,1
242,28,47,0,0,2,1,1
243,27,42,0,0,2,1,1
244,19,56,0,0,2,1,1
245,19,42,0,0,2,1,1
246,21,44,0,0,2,1,1
247,22,55,0,0,2,1,1
248,23,57,0,0,2,1,1
249,19,49,0,0,2,1,1
250,20,72,0,0,2,1,1
251,26,68,1,0,2,1,1
252,27,68,0,0,2,1,1
253,27,73,0,0,2,1,1
254,23,74,0,0,2,1,1
255,26,61,0,0,2,1,1
256,29,61,0,0,2,1,1
257,30,60,0,0,2,1,1
258,30,63,0,0,2,1,1
259,29,66,0,0,2,1,1
260,20,72,0,0,2,1,1
261,20,66,0,0,2,1,1
262,24,62,0,0,2,1,1
263,20,70,0,0,2,1,1
264,20,64,0,0,2,1,1
265,26,65,0,0,2,1,1
266,24,68,0,0,2,1,1
267,24,68,0,0,2,1,1
268,20,66,0,0,2,1,1
269,26,71,0,0,2,1,1
270,26,77,0,0,2,1,1
271,26,76,0,0,2,1,1
272,22,64,1,0,2,1,1
273,30,71,0,0,2,1,1
274,19,73,0,0,2,1,1
275,20,67,0,0,2,1,1
276,18,80,0,0,2,1,1
277,24,73,1,0,2,1,1
278,21,65,0,0,2,1,1
279,26,77,0,0,2,1,1
280,24,79,1,0,2,1,1
281,21,75,0,0,2,1,1
282,25,64,0,0,2,1,1
283,19,77,0,0,2,1,1
284,24,76,0,0,2,1,1
285,28,75,0,0,2,1,1
286,18,72,0,0,2,1,1
287,27,68,0,0,2,1,1
288,21,61,0,0,2,1,1
289,22,66,0,0,2,1,1
290,26,67,0,0,2,1,1
291,26,80,0,0,2,1,1
292,27,78,0,0,2,1,1
293,23,69,0,0,2,1,1
294,22,75,0,0,2,1,1
295,22,66,0,0,2,1,1
296,19,68,0,0,2,1,1
297,27,64,0,0,2,1,1
298,27,63,0,0,2,1,1
299,29,78,0,0,2,1,1
300,26,79,0,0,2,1,1
301,20,62,0,0,2,1,1
302,24,70,0,0,2,1,1
303,22,61,0,0,2,1,1
304,20,68,0,0,2,1,1
305,22,73,0,0,2,1,1
306,24,73,0,0,2,1,1
307,30,72,0,0,2,1,1
308,30,76,0,0,2,1,1
309,20,78,0,0,2,1,1
310,23,70,0,0,2,1,1
311,30,72,0,0,2,1,1
312,27,60,0,0,2,1,1
313,26,79,0,0,2,1,1
314,25,79,0,0,2,1,1
315,28,63,0,0,2,1,1
316,25,78,0,0,2,1,1
317,28,70,0,0,2,1,1
318,18,79,1,0,2,1,1
319,29,63,0,0,2,1,1
320,25,63,0,0,2,1,1
321,20,74,0,0,2,1,1
322,19,80,0,0,2,1,1
323,22,71,0,0,2,1,1
324,29,62,0,0,2,1,1
325,22,74,0,0,2,1,1
326,30,66,0,0,2,1,1
327,19,65,0,0,2,1,1
328,25,68,0,0,2,1,1
329,28,60,0,0,2,1,1
330,18,72,0,0,2,1,1
331,19,80,0,0,2,1,1
332,19,68,0,0,2,1,1
333,21,75,0,0,2,1,1
334,27,75,0,0,2,1,1
335,27,71,0,0,2,1,1
336,18,73,0,0,2,1,1
337,19,79,0,0,2,1,1
338,29,76,0,0,2,1,1
339,26,64,0,0,2,1,1
340,18,60,0,0,2,1,1
341,30,80,1,0,2,1,1
342,24,60,0,0,2,1,1
343,29,75,0,0,2,1,1
344,24,70,0,0,2,1,1
345,21,68,0,0,2,1,1
346,25,66,0,0,2,1,1
347,23,70,0,0,2,1,1
348,27,80,0,0,2,1,1
349,25,75,0,0,2,1,1
350,25,62,0,0,2,1,1
351,28,63,0,0,2,1,1
352,28,65,0,0,2,1,1
353,26,74,0,0,2,1,1
354,21,68,0,0,2,1,1
355,28,71,0,0,2,1,1
356,28,68,1,0,2,1,1
357,28,67,0,0,2,1,1
358,29,76,0,0,2,1,1
359,24,79,0,0,2,1,1
360,20,76,0,0,2,1,1
361,27,68,0,0,2,1,1
362,19,80,0,0,2,1,1
363,23,77,0,0,2,1,1
364,29,77,0,0,2,1,1
365,25,72,0,0,2,1,1
366,20,61,0,0,2,1,1
367,23,65,1,0,2,1,1
368,22,71,0,0,2,1,1
369,24,76,0,0,2,1,1
370,28,80,0,0,2,1,1
371,22,65,0,0,2,1,1
372,18,70,0,0,2,1,1
373,22,73,0,0,2,1,1
374,24,78,1,0,2,1,1
375,29,67,0,0,2,1,1
376,22,73,0,0,2,1,1
377,28,67,0,0,2,1,1
378,22,80,0,0,2,1,1
379,25,60,0,0,2,1,1
380,26,78,0,0,2,1,1
381,19,73,0,0,2,1,1
382,25,66,0,0,2,1,1
383,28,71,0,0,2,1,1
384,21,73,0,0,2,1,1
385,30,71,0,0,2,1,1
386,22,78,0,0,2,1,1
387,26,75,0,0,2,1,1
388,25,76,0,0,2,1,1
389,30,64,0,0,2,1,1
390,25,61,0,0,2,1,1
391,18,61,0,0,2,1,1
392,30,76,0,0,2,1,1
393,25,61,0,0,2,1,1
394,21,68,0,0,2,1,1
395,25,80,0,0,2,1,1
396,18,79,0,0,2,1,1
397,18,69,0,0,2,1,1
398,24,76,0,0,2,1,1
399,19,72,0,0,2,1,1
400,22,73,0,0,2,1,1
401,22,62,0,0,2,1,1
402,26,73,0,0,2,1,1
403,21,62,0,0,2,1,1
404,21,78,0,0,2,1,1
405,28,79,0,0,2,1,1
406,30,61,1,0,2,1,1
407,24,70,1,0,2,1,1
408,22,65,0,0,2,1,1
409,20,74,0,0,2,1,1
410,18,62,0,0,2,1,1
411,19,63,0,0,2,1,1
412,20,80,0,0,2,1,1
413,28,61,0,0,2,1,1
414,20,68,0,0,2,1,1
415,26,80,0,0,2,1,1
416,26,80,0,0,2,1,1
417,19,61,0,0,2,1,1
418,28,75,0,0,2,1,1
419,26,71,0,0,2,1,1
420,21,69,0,0,2,1,1
421,26,79,0,0,2,1,1
422,20,65,0,0,2,1,1
423,23,76,0,0,2,1,1
424,24,80,0,0,2,1,1
425,19,72,0,0,2,1,1
426,24,80,0,0,2,1,1
427,20,70,0,0,2,1,1
428,22,70,0,0,2,1,1
429,22,66,0,0,2,1,1
430,28,63,1,0,2,1,1
431,24,74,0,0,2,1,1
432,26,67,0,0,2,1,1
433,21,70,0,0,2,1,1
434,24,65,0,0,2,1,1
435,29,80,0,0,2,1,1
436,28,60,0,0,2,1,1
437,26,79,0,0,2,1,1
438,27,76,0,0,2,1,1
439,25,60,1,0,2,1,1
440,21,66,0,0,2,1,1
441,22,80,0,0,2,1,1
442,20,79,1,0,2,1,1
443,29,68,0,0,2,1,1
444,22,60,0,0,2,1,1
445,25,74,0,0,2,1,1
446,26,65,0,0,2,1,1
447,23,79,0,0,2,1,1
448,24,64,0,0,2,1,1
449,23,63,0,0,2,1,1
450,19,78,0,0,2,1,1
451,22,80,0,0,2,1,1
452,22,79,0,0,2,1,1
453,25,77,0,0,2,1,1
454,22,65,0,0,2,1,1
455,24,79,0,0,2,1,1
456,28,77,0,0,2,1,1
