,age,monthly_income,sex,education,product,quality,purchased
0,24,40,1,0,2,1,1
1,26,43,1,0,2,1,1
2,22,47,1,0,2,1,1
3,23,51,1,0,2,1,1
4,28,41,1,0,2,1,1
5,25,41,1,0,2,1,1
6,28,45,1,0,2,1,1
7,19,55,1,0,2,1,1
8,19,52,1,0,2,1,1
9,21,60,1,0,2,1,1
10,23,56,0,0,2,1,1
11,26,59,1,0,2,1,1
12,22,53,1,0,2,1,1
13,20,58,0,0,2,1,1
14,19,46,0,0,2,1,1
15,30,55,1,0,2,1,1
16,30,49,1,0,2,1,1
17,22,47,1,0,2,1,1
18,22,58,1,0,2,1,1
19,21,42,0,0,2,1,1
20,25,54,1,0,2,1,1
21,30,42,0,0,2,1,1
22,24,57,0,0,2,1,1
23,24,58,0,0,2,1,1
24,18,43,0,0,2,1,1
25,29,43,1,0,2,1,1
26,24,45,1,0,2,1,1
27,25,44,1,0,2,1,1
28,22,42,1,0,2,1,1
29,26,60,0,0,2,1,1
30,27,43,1,0,2,1,1
31,24,43,1,0,2,1,1
32,21,40,0,0,2,1,1
33,19,57,0,0,2,1,1
34,30,41,1,0,2,1,1
35,19,55,1,0,2,1,1
36,26,44,1,0,2,1,1
37,19,57,1,0,2,1,1
38,24,59,0,0,2,1,1
39,26,50,0,0,2,1,1
40,19,56,0,0,2,1,1
41,30,41,1,0,2,1,1
42,25,40,1,0,2,1,1
43,26,45,1,0,2,1,1
44,22,48,1,0,2,1,1
45,20,55,1,0,2,1,1
46,18,40,1,0,2,1,1
47,19,59,1,0,2,1,1
48,19,42,0,0,2,1,1
49,30,53,1,0,2,1,1
50,27,51,1,0,2,1,1
51,29,49,1,0,2,1,1
52,29,59,1,0,2,1,1
53,24,47,1,0,2,1,1
54,25,49,0,0,2,1,1
55,29,47,1,0,2,1,1
56,29,57,0,0,2,1,1
57,26,54,1,0,2,1,1
58,22,50,1,0,2,1,1
59,23,54,1,0,2,1,1
60,21,40,0,0,2,1,1
61,30,51,1,0,2,1,1
62,19,54,1,0,2,1,1
63,23,48,0,0,2,1,1
64,25,43,1,0,2,1,1
65,26,57,1,0,2,1,1
66,28,48,1,0,2,1,1
67,24,59,1,0,2,1,1
68,20,47,0,0,2,1,1
69,21,42,0,0,2,1,1
70,21,51,1,0,2,1,1
71,18,53,1,0,2,1,1
72,24,56,1,0,2,1,1
73,26,57,0,0,2,1,1
74,22,49,0,0,2,1,1
75,27,43,1,0,2,1,1
76,26,53,1,0,2,1,1
77,19,56,1,0,2,1,1
78,30,42,1,0,2,1,1
79,21,53,0,0,2,1,1
80,24,47,1,0,2,1,1
81,25,41,1,0,2,1,1
82,25,53,1,0,2,1,1
83,22,51,1,0,2,1,1
84,22,46,1,0,2,1,1
85,27,48,1,0,2,1,1
86,19,43,1,0,2,1,1
87,24,45,1,0,2,1,1
88,28,51,1,0,2,1,1
89,19,47,1,0,2,1,1
90,26,48,1,0,2,1,1
91,23,53,1,0,2,1,1
92,28,44,0,0,2,1,1
93,27,44,0,0,2,1,1
94,22,45,1,0,2,1,1
95,22,55,0,0,2,1,1
96,18,43,0,0,2,1,1
97,23,41,1,0,2,1,1
98,27,53,1,0,2,1,1
99,25,43,0,0,2,1,1
100,28,58,1,0,2,1,1
101,23,48,1,0,2,1,1
102,20,52,0,0,2,1,1
103,29,52,1,0,2,1,1
104,29,51,0,0,2,1,1
105,22,60,1,0,2,1,1
106,28,46,0,0,2,1,1
107,21,58,1,0,2,1,1
108,29,52,1,0,2,1,1
109,20,57,1,0,2,1,1
110,23,42,0,0,2,1,1
111,18,51,0,0,2,1,1
