,age,monthly_income,sex,education,product,quality,purchased
0,29,50,0,0,1,1,1
1,19,49,1,0,1,1,1
2,22,59,0,0,1,1,1
3,25,60,0,0,1,1,1
4,23,56,1,0,1,1,1
5,23,53,0,0,1,1,1
6,28,60,1,0,1,1,1
7,19,50,0,0,1,1,1
8,30,47,1,0,1,1,1
9,24,53,1,0,1,1,1
10,23,49,0,0,1,1,1
11,22,54,1,0,1,1,1
12,22,57,1,0,1,1,1
13,23,40,1,0,1,1,1
14,26,56,1,0,1,1,1
15,25,52,0,0,1,1,1
16,19,58,0,0,1,1,1
17,19,53,1,0,1,1,1
18,21,59,1,0,1,1,1
19,20,57,1,0,1,1,1
20,26,60,1,0,1,1,1
21,27,58,1,0,1,1,1
22,22,57,0,0,1,1,1
23,30,50,1,0,1,1,1
24,18,56,1,0,1,1,1
25,23,47,0,0,1,1,1
26,27,55,1,0,1,1,1
27,21,44,1,0,1,1,1
28,28,54,0,0,1,1,1
29,24,44,1,0,1,1,1
30,23,43,0,0,1,1,1
31,26,42,1,0,1,1,1
32,21,46,0,0,1,1,1
33,25,53,1,0,1,1,1
34,25,49,1,0,1,1,1
35,26,47,1,0,1,1,1
36,26,53,1,0,1,1,1
37,27,47,0,0,1,1,1
38,26,52,1,0,1,1,1
39,22,40,1,0,1,1,1
40,23,50,1,0,1,1,1
41,23,44,1,0,1,1,1
42,26,47,1,0,1,1,1
43,21,55,0,0,1,1,1
44,26,55,0,0,1,1,1
45,21,52,0,0,1,1,1
46,28,40,0,0,1,1,1
47,30,53,0,0,1,1,1
48,23,60,1,0,1,1,1
49,20,51,1,0,1,1,1
50,21,54,0,0,1,1,1
51,30,60,1,0,1,1,1
52,24,51,1,0,1,1,1
53,26,59,1,0,1,1,1
54,23,53,0,0,1,1,1
55,28,43,0,0,1,1,1
56,20,56,0,0,1,1,1
57,30,43,0,0,1,1,1
58,24,51,0,0,1,1,1
59,18,60,1,0,1,1,1
60,20,49,0,0,1,1,1
61,21,47,1,0,1,1,1
62,25,47,0,0,1,1,1
63,23,49,0,0,1,1,1
64,23,41,1,0,1,1,1
65,19,50,0,0,1,1,1
66,27,44,0,0,1,1,1
67,30,52,1,0,1,1,1
68,30,57,0,0,1,1,1
69,30,58,1,0,1,1,1
70,26,46,1,0,1,1,1
71,27,57,1,0,1,1,1
72,21,60,0,0,1,1,1
73,26,44,1,0,1,1,1
74,24,52,1,0,1,1,1
75,26,40,1,0,1,1,1
76,23,52,0,0,1,1,1
77,20,47,0,0,1,1,1
78,20,52,1,0,1,1,1
79,28,54,1,0,1,1,1
80,19,41,1,0,1,1,1
81,24,49,1,0,1,1,1
82,20,55,0,0,1,1,1
83,27,57,1,0,1,1,1
84,28,49,1,0,1,1,1
85,24,45,0,0,1,1,1
86,27,54,1,0,1,1,1
87,23,40,0,0,1,1,1
88,24,56,1,0,1,1,1
89,19,53,0,0,1,1,1
90,18,41,1,0,1,1,1
91,26,50,0,0,1,1,1
92,27,41,1,0,1,1,1
93,23,55,1,0,1,1,1
94,26,52,1,0,1,1,1
95,26,42,0,0,1,1,1
96,26,60,1,0,1,1,1
97,27,41,1,0,1,1,1
98,30,44,0,0,1,1,1
99,25,44,1,0,1,1,1
100,19,51,0,0,1,1,1
101,26,41,1,0,1,1,1
102,18,40,1,0,1,1,1
103,23,46,0,0,1,1,1
104,18,59,0,0,1,1,1
105,26,43,1,0,1,1,1
106,22,55,0,0,1,1,1
107,22,48,0,0,1,1,1
108,27,52,0,0,1,1,1
109,26,52,0,0,1,1,1
110,26,53,1,0,1,1,1
111,18,42,0,0,1,1,1
112,23,44,1,0,1,1,1
113,24,42,1,0,1,1,1
114,30,45,1,0,1,1,1
115,27,60,1,0,1,1,1
116,28,46,0,0,1,1,1
117,28,59,1,0,1,1,1
118,26,42,0,0,1,1,1
119,26,55,0,0,1,1,1
120,25,52,1,0,1,1,1
121,28,55,0,0,1,1,1
122,25,48,0,0,1,1,1
123,29,55,1,0,1,1,1
124,29,60,0,0,1,1,1
125,21,56,1,0,1,1,1
126,19,40,1,0,1,1,1
127,29,50,1,0,1,1,1
128,29,58,1,0,1,1,1
129,29,50,0,0,1,1,1
130,23,55,1,0,1,1,1
131,22,60,0,0,1,1,1
132,21,46,1,0,1,1,1
133,25,44,1,0,1,1,1
134,22,43,1,0,1,1,1
135,26,60,0,0,1,1,1
136,20,60,1,0,1,1,1
137,25,45,1,0,1,1,1
138,28,52,0,0,1,1,1
139,19,50,1,0,1,1,1
140,24,53,0,0,1,1,1
141,21,53,1,0,1,1,1
142,18,44,0,0,1,1,1
143,22,54,0,0,1,1,1
144,27,52,0,0,1,1,1
145,19,60,1,0,1,1,1
146,23,43,1,0,1,1,1
147,19,48,0,0,1,1,1
148,26,50,1,0,1,1,1
149,23,52,0,0,1,1,1
150,18,45,1,0,1,1,1
151,22,40,1,0,1,1,1
152,21,49,1,0,1,1,1
153,19,43,1,0,1,1,1
154,20,45,1,0,1,1,1
155,27,45,1,0,1,1,1
156,29,60,1,0,1,1,1
157,19,46,0,0,1,1,1
158,18,59,1,0,1,1,1
159,25,49,0,0,1,1,1
160,30,59,0,0,1,1,1
161,28,56,1,0,1,1,1
162,23,51,1,0,1,1,1
163,27,40,1,0,1,1,1
164,30,48,1,0,1,1,1
165,19,55,1,0,1,1,1
166,18,45,1,0,1,1,1
167,30,55,0,0,1,1,1
168,22,43,1,0,1,1,1
169,20,41,1,0,1,1,1
170,20,46,0,0,1,1,1
171,18,59,1,0,1,1,1
172,27,45,0,0,1,1,1
173,24,52,1,0,1,1,1
174,24,56,1,0,1,1,1
175,28,58,1,0,1,1,1
176,30,48,0,0,1,1,1
177,25,54,1,0,1,1,1
178,25,52,1,0,1,1,1
179,18,46,1,0,1,1,1
180,19,55,1,0,1,1,1
181,25,40,1,0,1,1,1
182,29,53,1,0,1,1,1
183,27,55,1,0,1,1,1
184,30,41,1,0,1,1,1
185,27,49,1,0,1,1,1
186,18,41,0,0,1,1,1
187,21,47,1,0,1,1,1
188,30,57,1,0,1,1,1
189,28,50,1,0,1,1,1
190,23,44,0,0,1,1,1
191,22,43,1,0,1,1,1
192,25,59,0,0,1,1,1
193,26,47,1,0,1,1,1
194,22,60,1,0,1,1,1
195,25,50,0,0,1,1,1
196,26,50,1,0,1,1,1
197,24,50,1,0,1,1,1
198,26,44,1,0,1,1,1
199,19,46,1,0,1,1,1
200,21,47,0,0,1,1,1
201,19,53,1,0,1,1,1
202,30,43,1,0,1,1,1
203,25,50,1,0,1,1,1
204,27,52,1,0,1,1,1
205,20,41,1,0,1,1,1
206,21,40,1,0,1,1,1
207,28,40,0,0,1,1,1
208,27,40,1,0,1,1,1
209,20,58,0,0,1,1,1
210,30,59,1,0,1,1,1
211,19,51,0,0,1,1,1
212,29,51,0,0,1,1,1
213,27,40,1,0,1,1,1
214,18,40,0,0,1,1,1
215,22,55,1,0,1,1,1
216,19,44,0,0,1,1,1
217,29,42,0,0,1,1,1
218,28,44,0,0,1,1,1
219,26,41,1,0,1,1,1
220,28,59,1,0,1,1,1
221,24,56,0,0,1,1,1
222,20,54,1,0,1,1,1
223,21,60,1,0,1,1,1
224,28,55,0,0,1,1,1
225,20,43,0,0,1,1,1
226,27,52,0,0,1,1,1
227,28,52,1,0,1,1,1
228,26,40,1,0,1,1,1
229,21,55,1,0,1,1,1
230,23,53,0,0,1,1,1
231,30,41,1,0,1,1,1
232,27,43,1,0,1,1,1
233,23,55,1,0,1,1,1
234,26,53,1,0,1,1,1
235,28,41,1,0,1,1,1
236,23,45,1,0,1,1,1
237,25,43,0,0,1,1,1
238,30,57,1,0,1,1,1
239,30,57,1,0,1,1,1
240,25,55,1,0,1,1,1
241,18,60,1,0,1,1,1
242,20,45,1,0,1,1,1
243,22,56,1,0,1,1,1
244,27,48,1,0,1,1,1
245,28,43,1,0,1,1,1
246,29,42,1,0,1,1,1
247,27,49,0,0,1,1,1
248,26,48,1,0,1,1,1
249,27,57,0,0,1,1,1
250,20,64,0,1,1,1,1
251,23,73,0,1,1,1,1
252,21,75,0,1,1,1,1
253,30,80,1,1,1,1,1
254,23,76,0,1,1,1,1
255,29,68,1,1,1,1,1
256,29,77,0,1,1,1,1
257,21,64,1,1,1,1,1
258,22,76,0,1,1,1,1
259,18,66,1,1,1,1,1
260,30,75,1,1,1,1,1
261,29,70,1,1,1,1,1
262,29,74,1,1,1,1,1
263,18,67,0,1,1,1,1
264,20,62,0,1,1,1,1
265,25,77,1,1,1,1,1
266,18,66,0,1,1,1,1
267,18,75,0,1,1,1,1
268,30,63,1,1,1,1,1
269,24,78,1,1,1,1,1
270,21,61,0,1,1,1,1
271,20,76,0,1,1,1,1
272,27,63,0,1,1,1,1
273,28,78,1,1,1,1,1
274,26,63,1,1,1,1,1
275,23,75,0,1,1,1,1
276,24,78,1,1,1,1,1
277,18,80,1,1,1,1,1
278,28,77,0,1,1,1,1
279,22,75,1,1,1,1,1
280,27,62,0,1,1,1,1
281,27,69,1,1,1,1,1
282,27,60,1,1,1,1,1
283,26,63,1,1,1,1,1
284,23,60,0,1,1,1,1
285,23,80,0,1,1,1,1
286,24,67,1,1,1,1,1
287,26,64,0,1,1,1,1
288,21,74,1,1,1,1,1
289,29,62,1,1,1,1,1
290,26,73,0,1,1,1,1
291,22,64,1,1,1,1,1
292,18,68,1,1,1,1,1
293,22,72,1,1,1,1,1
294,21,70,1,1,1,1,1
295,26,77,1,1,1,1,1
296,23,66,0,1,1,1,1
297,21,60,1,1,1,1,1
298,20,71,0,1,1,1,1
299,24,79,0,1,1,1,1
300,19,71,1,1,1,1,1
301,25,73,1,1,1,1,1
302,18,69,1,1,1,1,1
303,20,71,1,1,1,1,1
304,23,65,1,1,1,1,1
305,22,69,1,1,1,1,1
306,20,73,0,1,1,1,1
