,age,monthly_income,sex,education,product,quality,purchased
0,30,41,1,0,3,1,1
1,19,51,1,0,3,1,1
2,29,42,1,0,3,1,1
3,21,42,1,0,3,1,1
4,24,45,1,0,3,1,1
5,18,50,1,0,3,1,1
6,18,46,1,0,3,1,1
7,18,50,0,0,3,1,1
8,26,43,0,0,3,1,1
9,20,59,1,0,3,1,1
10,25,54,1,0,3,1,1
11,26,47,1,0,3,1,1
12,25,53,1,0,3,1,1
13,29,40,0,0,3,1,1
14,21,49,0,0,3,1,1
15,30,49,1,0,3,1,1
16,26,44,1,0,3,1,1
17,25,58,1,0,3,1,1
18,29,53,1,0,3,1,1
19,22,44,1,0,3,1,1
20,22,46,1,0,3,1,1
21,23,42,1,0,3,1,1
22,19,59,1,0,3,1,1
23,19,49,1,0,3,1,1
24,24,59,1,0,3,1,1
25,20,46,1,0,3,1,1
26,22,46,1,0,3,1,1
27,27,43,1,0,3,1,1
28,24,51,1,0,3,1,1
29,25,50,1,0,3,1,1
30,20,48,1,0,3,1,1
31,21,47,1,0,3,1,1
32,21,58,0,0,3,1,1
33,26,43,0,0,3,1,1
34,20,59,1,0,3,1,1
35,18,41,1,0,3,1,1
36,29,60,1,0,3,1,1
37,25,45,0,0,3,1,1
38,27,40,1,0,3,1,1
39,20,57,1,0,3,1,1
40,21,45,1,0,3,1,1
41,30,51,1,0,3,1,1
42,20,47,1,0,3,1,1
43,20,53,0,0,3,1,1
44,19,47,1,0,3,1,1
45,27,59,0,0,3,1,1
46,26,52,1,0,3,1,1
47,20,59,1,0,3,1,1
48,26,40,1,0,3,1,1
49,28,42,1,0,3,1,1
50,26,57,1,0,3,1,1
51,30,48,1,0,3,1,1
52,26,40,0,0,3,1,1
53,28,53,1,0,3,1,1
54,26,48,0,0,3,1,1
55,28,41,1,0,3,1,1
56,20,58,1,0,3,1,1
57,19,58,1,0,3,1,1
58,24,49,1,0,3,1,1
59,28,55,1,0,3,1,1
60,18,42,1,0,3,1,1
61,28,49,1,0,3,1,1
62,22,57,1,0,3,1,1
63,25,51,0,0,3,1,1
64,22,40,1,0,3,1,1
65,21,44,1,0,3,1,1
66,27,58,1,0,3,1,1
67,22,44,1,0,3,1,1
68,25,53,1,0,3,1,1
69,21,48,1,0,3,1,1
70,29,40,1,0,3,1,1
71,29,49,0,0,3,1,1
72,27,40,1,0,3,1,1
73,29,46,1,0,3,1,1
74,21,44,1,0,3,1,1
75,20,49,1,0,3,1,1
76,21,57,1,0,3,1,1
77,23,41,0,0,3,1,1
78,19,57,1,0,3,1,1
79,30,51,0,0,3,1,1
80,21,58,1,0,3,1,1
81,21,45,0,0,3,1,1
82,28,53,1,0,3,1,1
83,30,47,1,0,3,1,1
84,27,60,0,0,3,1,1
85,28,52,1,0,3,1,1
86,20,44,1,0,3,1,1
87,30,43,1,0,3,1,1
88,27,49,1,0,3,1,1
89,19,50,1,0,3,1,1
90,24,59,1,0,3,1,1
91,24,46,1,0,3,1,1
92,22,41,1,0,3,1,1
93,28,60,1,0,3,1,1
94,22,59,1,0,3,1,1
95,23,44,0,0,3,1,1
96,26,42,1,0,3,1,1
97,24,46,1,0,3,1,1
98,20,51,0,0,3,1,1
99,22,40,0,0,3,1,1
100,23,58,1,0,3,1,1
101,30,54,1,0,3,1,1
102,19,58,1,0,3,1,1
103,29,55,1,0,3,1,1
104,21,45,1,0,3,1,1
105,18,56,0,0,3,1,1
106,28,47,1,0,3,1,1
107,26,59,1,0,3,1,1
108,30,51,1,0,3,1,1
109,24,52,0,0,3,1,1
110,26,50,1,0,3,1,1
111,30,60,1,0,3,1,1
112,26,47,1,0,3,1,1
113,25,60,1,0,3,1,1
114,26,56,1,0,3,1,1
115,28,46,1,0,3,1,1
116,20,59,1,0,3,1,1
117,27,53,0,0,3,1,1
118,20,40,1,0,3,1,1
119,19,55,1,0,3,1,1
120,19,45,1,0,3,1,1
121,19,40,1,0,3,1,1
122,18,40,1,0,3,1,1
123,30,41,0,0,3,1,1
124,22,50,1,0,3,1,1
125,26,49,1,0,3,1,1
126,18,49,1,0,3,1,1
127,30,55,1,0,3,1,1
128,25,44,1,0,3,1,1
129,19,59,1,0,3,1,1
130,27,44,0,0,3,1,1
131,18,48,0,0,3,1,1
132,19,47,1,0,3,1,1
133,23,45,1,0,3,1,1
134,23,55,1,0,3,1,1
135,23,49,0,0,3,1,1
136,19,56,0,0,3,1,1
137,25,55,0,0,3,1,1
138,23,40,1,0,3,1,1
139,25,44,1,0,3,1,1
140,29,41,1,0,3,1,1
141,20,45,1,0,3,1,1
142,28,53,1,0,3,1,1
143,18,46,0,0,3,1,1
144,20,60,1,0,3,1,1
145,20,55,1,0,3,1,1
146,27,44,0,0,3,1,1
147,28,53,0,0,3,1,1
148,20,59,1,0,3,1,1
149,29,54,0,0,3,1,1
150,30,49,1,0,3,1,1
151,20,48,1,0,3,1,1
152,24,42,1,0,3,1,1
153,28,52,1,0,3,1,1
154,21,48,1,0,3,1,1
155,21,46,1,0,3,1,1
156,18,45,0,0,3,1,1
157,22,48,0,0,3,1,1
158,27,51,1,0,3,1,1
159,28,48,0,0,3,1,1
160,23,55,1,0,3,1,1
161,18,43,1,0,3,1,1
162,23,46,0,0,3,1,1
163,30,50,1,0,3,1,1
164,19,55,1,0,3,1,1
165,22,47,0,0,3,1,1
166,24,46,1,0,3,1,1
167,22,58,1,0,3,1,1
168,22,43,1,0,3,1,1
169,28,54,1,0,3,1,1
170,30,46,1,0,3,1,1
171,29,50,1,0,3,1,1
172,18,49,1,0,3,1,1
173,26,44,0,0,3,1,1
174,25,42,1,0,3,1,1
175,24,48,1,0,3,1,1
176,21,58,0,0,3,1,1
177,23,53,1,0,3,1,1
178,29,41,0,0,3,1,1
179,28,55,1,0,3,1,1
180,28,51,1,0,3,1,1
181,26,51,1,0,3,1,1
182,25,59,1,0,3,1,1
183,28,45,1,0,3,1,1
184,18,58,1,0,3,1,1
185,20,55,1,0,3,1,1
186,20,42,1,0,3,1,1
187,24,56,1,0,3,1,1
188,25,44,1,0,3,1,1
189,28,47,0,0,3,1,1
190,18,53,1,0,3,1,1
191,29,51,1,0,3,1,1
192,20,46,1,0,3,1,1
193,19,56,1,0,3,1,1
194,23,51,1,0,3,1,1
195,27,56,0,0,3,1,1
196,30,60,1,0,3,1,1
197,27,41,0,0,3,1,1
198,23,50,1,0,3,1,1
199,23,44,0,0,3,1,1
200,26,57,1,0,3,1,1
201,24,44,1,0,3,1,1
202,24,44,0,0,3,1,1
203,21,47,1,0,3,1,1
204,27,53,1,0,3,1,1
205,26,42,0,0,3,1,1
206,27,47,1,0,3,1,1
207,21,44,0,0,3,1,1
208,21,56,0,0,3,1,1
209,24,49,1,0,3,1,1
210,27,46,1,0,3,1,1
211,19,60,1,0,3,1,1
212,20,55,0,0,3,1,1
213,24,45,1,0,3,1,1
214,25,55,0,0,3,1,1
215,30,46,1,0,3,1,1
216,28,56,1,0,3,1,1
217,26,41,1,0,3,1,1
218,22,52,0,0,3,1,1
219,28,41,1,0,3,1,1
220,18,46,1,0,3,1,1
221,21,45,1,0,3,1,1
222,22,54,1,0,3,1,1
223,21,43,1,0,3,1,1
224,20,43,1,0,3,1,1
225,20,40,1,0,3,1,1
226,23,47,1,0,3,1,1
227,21,43,1,0,3,1,1
228,30,40,1,0,3,1,1
229,21,45,1,0,3,1,1
230,28,58,0,0,3,1,1
231,23,52,1,0,3,1,1
232,26,59,0,0,3,1,1
233,19,49,1,0,3,1,1
234,19,44,1,0,3,1,1
235,24,52,1,0,3,1,1
236,27,48,1,0,3,1,1
237,24,43,1,0,3,1,1
238,28,56,0,0,3,1,1
239,26,49,1,0,3,1,1
240,29,43,1,0,3,1,1
241,18,52,1,0,3,1,1
242,18,58,1,0,3,1,1
243,28,43,1,0,3,1,1
244,25,53,0,0,3,1,1
245,27,43,1,0,3,1,1
246,27,57,1,0,3,1,1
247,21,50,0,0,3,1,1
248,26,51,1,0,3,1,1
249,26,43,1,0,3,1,1
250,35,72,1,1,3,1,1
251,39,76,0,1,3,1,1
252,33,73,0,1,3,1,1
253,46,74,1,1,3,1,1
254,47,78,1,1,3,1,1
255,43,64,1,1,3,1,1
256,42,80,1,1,3,1,1
257,46,73,1,1,3,1,1
258,32,62,0,1,3,1,1
259,40,79,0,1,3,1,1
260,43,78,1,1,3,1,1
261,50,62,1,1,3,1,1
262,32,65,1,1,3,1,1
263,40,68,1,1,3,1,1
264,43,69,1,1,3,1,1
265,43,70,0,1,3,1,1
266,36,63,1,1,3,1,1
