,age,monthly_income,sex,education,product,quality,purchased
0,25,40,0,0,3,1,1
1,21,45,1,0,3,1,1
2,18,57,1,0,3,1,1
3,19,49,0,0,3,1,1
4,30,55,1,0,3,1,1
5,18,50,0,0,3,1,1
6,26,50,1,0,3,1,1
7,27,58,0,0,3,1,1
8,21,47,1,0,3,1,1
9,19,43,1,0,3,1,1
10,22,40,1,0,3,1,1
11,19,55,1,0,3,1,1
12,24,44,1,0,3,1,1
13,18,56,1,0,3,1,1
14,19,43,1,0,3,1,1
15,28,60,0,0,3,1,1
16,30,59,1,0,3,1,1
17,19,52,1,0,3,1,1
18,20,51,1,0,3,1,1
19,29,57,0,0,3,1,1
20,22,56,0,0,3,1,1
21,25,55,1,0,3,1,1
22,21,51,0,0,3,1,1
23,25,50,0,0,3,1,1
24,21,44,1,0,3,1,1
25,20,49,1,0,3,1,1
26,18,45,1,0,3,1,1
27,30,56,1,0,3,1,1
28,23,42,1,0,3,1,1
29,21,54,1,0,3,1,1
30,23,41,1,0,3,1,1
31,30,50,1,0,3,1,1
32,20,60,0,0,3,1,1
33,24,52,0,0,3,1,1
34,30,47,0,0,3,1,1
35,24,59,1,0,3,1,1
36,23,40,1,0,3,1,1
37,19,42,1,0,3,1,1
38,24,40,1,0,3,1,1
39,23,56,0,0,3,1,1
40,28,53,0,0,3,1,1
41,19,44,1,0,3,1,1
42,18,46,1,0,3,1,1
43,24,50,0,0,3,1,1
44,25,57,0,0,3,1,1
45,20,52,1,0,3,1,1
46,18,60,1,0,3,1,1
47,18,46,1,0,3,1,1
48,24,55,1,0,3,1,1
49,26,56,0,0,3,1,1
50,30,43,1,0,3,1,1
51,28,44,0,0,3,1,1
52,28,54,1,0,3,1,1
53,30,50,0,0,3,1,1
54,26,46,1,0,3,1,1
55,25,41,0,0,3,1,1
56,20,52,1,0,3,1,1
57,18,54,0,0,3,1,1
58,29,60,1,0,3,1,1
59,22,58,1,0,3,1,1
60,28,54,0,0,3,1,1
61,18,47,1,0,3,1,1
62,19,41,1,0,3,1,1
63,28,41,0,0,3,1,1
64,19,53,1,0,3,1,1
65,29,48,0,0,3,1,1
66,22,56,1,0,3,1,1
67,28,58,1,0,3,1,1
68,28,42,0,0,3,1,1
69,22,50,1,0,3,1,1
70,24,41,1,0,3,1,1
71,22,48,1,0,3,1,1
72,27,60,1,0,3,1,1
73,27,50,1,0,3,1,1
74,24,47,1,0,3,1,1
75,25,56,0,0,3,1,1
76,28,43,0,0,3,1,1
77,19,44,1,0,3,1,1
78,29,60,0,0,3,1,1
79,21,57,0,0,3,1,1
80,28,49,0,0,3,1,1
81,18,40,0,0,3,1,1
82,22,58,1,0,3,1,1
83,29,43,1,0,3,1,1
84,20,42,1,0,3,1,1
85,23,51,0,0,3,1,1
86,24,57,1,0,3,1,1
87,27,47,0,0,3,1,1
88,18,59,1,0,3,1,1
89,20,46,1,0,3,1,1
90,22,60,1,0,3,1,1
91,28,46,1,0,3,1,1
92,28,42,1,0,3,1,1
93,19,41,1,0,3,1,1
94,22,58,1,0,3,1,1
95,18,59,1,0,3,1,1
96,20,52,0,0,3,1,1
97,25,45,0,0,3,1,1
98,28,47,1,0,3,1,1
99,27,44,1,0,3,1,1
100,20,49,0,0,3,1,1
101,22,55,0,0,3,1,1
102,29,44,0,0,3,1,1
103,21,47,0,0,3,1,1
104,22,40,0,0,3,1,1
105,18,44,0,0,3,1,1
106,25,57,1,0,3,1,1
107,20,49,1,0,3,1,1
108,21,42,0,0,3,1,1
109,24,42,1,0,3,1,1
110,18,57,0,0,3,1,1
111,30,57,0,0,3,1,1
112,22,51,0,0,3,1,1
113,23,59,0,0,3,1,1
114,20,47,0,0,3,1,1
115,20,52,1,0,3,1,1
116,22,44,1,0,3,1,1
117,27,47,1,0,3,1,1
118,21,43,0,0,3,1,1
119,22,59,0,0,3,1,1
120,25,57,0,0,3,1,1
121,20,59,0,0,3,1,1
122,30,56,0,0,3,1,1
123,24,47,1,0,3,1,1
124,28,40,1,0,3,1,1
125,20,52,0,0,3,1,1
126,29,44,0,0,3,1,1
127,29,49,1,0,3,1,1
128,24,42,0,0,3,1,1
129,22,46,0,0,3,1,1
130,30,49,1,0,3,1,1
131,22,56,1,0,3,1,1
132,22,48,0,0,3,1,1
133,23,57,1,0,3,1,1
134,18,43,1,0,3,1,1
135,24,60,1,0,3,1,1
136,23,57,1,0,3,1,1
137,18,43,1,0,3,1,1
138,27,56,0,0,3,1,1
139,18,51,0,0,3,1,1
140,21,52,1,0,3,1,1
141,25,47,1,0,3,1,1
142,28,55,1,0,3,1,1
143,28,41,0,0,3,1,1
144,22,41,1,0,3,1,1
145,21,44,1,0,3,1,1
146,26,49,0,0,3,1,1
147,23,44,0,0,3,1,1
148,23,45,1,0,3,1,1
149,22,51,1,0,3,1,1
150,20,50,1,0,3,1,1
151,29,60,1,0,3,1,1
152,30,43,0,0,3,1,1
153,24,42,0,0,3,1,1
154,19,41,0,0,3,1,1
155,24,55,0,0,3,1,1
