,age,monthly_income,sex,education,product,quality,purchased
0,19,41,1,0,2,1,1
1,21,43,1,0,2,1,1
2,28,42,0,0,2,1,1
3,28,40,1,0,2,1,1
4,29,57,1,0,2,1,1
5,26,51,0,0,2,1,1
6,21,57,1,0,2,1,1
7,29,45,1,0,2,1,1
8,26,52,1,0,2,1,1
9,22,52,0,0,2,1,1
10,30,47,1,0,2,1,1
11,25,53,1,0,2,1,1
12,27,43,1,0,2,1,1
13,20,58,1,0,2,1,1
14,29,54,1,0,2,1,1
15,27,54,1,0,2,1,1
16,29,52,1,0,2,1,1
17,20,51,0,0,2,1,1
18,26,50,1,0,2,1,1
19,23,53,1,0,2,1,1
20,28,49,1,0,2,1,1
21,19,54,1,0,2,1,1
22,27,59,1,0,2,1,1
23,26,47,1,0,2,1,1
24,29,55,1,0,2,1,1
25,19,44,1,0,2,1,1
26,20,41,1,0,2,1,1
27,27,51,1,0,2,1,1
28,24,44,0,0,2,1,1
29,23,44,1,0,2,1,1
30,30,42,1,0,2,1,1
31,19,57,1,0,2,1,1
32,20,42,1,0,2,1,1
33,22,42,1,0,2,1,1
34,30,46,1,0,2,1,1
35,26,60,0,0,2,1,1
36,29,46,1,0,2,1,1
37,26,58,0,0,2,1,1
38,24,45,1,0,2,1,1
39,29,54,1,0,2,1,1
40,28,47,1,0,2,1,1
41,19,43,1,0,2,1,1
42,21,40,1,0,2,1,1
43,30,60,1,0,2,1,1
44,27,41,1,0,2,1,1
45,19,54,0,0,2,1,1
46,21,56,0,0,2,1,1
47,22,50,1,0,2,1,1
48,20,57,0,0,2,1,1
49,27,48,1,0,2,1,1
50,21,48,1,0,2,1,1
51,18,45,1,0,2,1,1
52,24,43,1,0,2,1,1
53,24,44,1,0,2,1,1
54,21,58,1,0,2,1,1
55,29,52,1,0,2,1,1
56,25,59,1,0,2,1,1
57,22,43,0,0,2,1,1
58,30,59,1,0,2,1,1
59,29,55,1,0,2,1,1
60,18,43,1,0,2,1,1
61,22,49,1,0,2,1,1
62,19,60,1,0,2,1,1
63,27,45,1,0,2,1,1
64,25,42,1,0,2,1,1
65,23,59,1,0,2,1,1
66,28,46,1,0,2,1,1
67,21,45,1,0,2,1,1
68,30,57,0,0,2,1,1
69,23,53,1,0,2,1,1
70,18,56,0,0,2,1,1
71,24,45,1,0,2,1,1
72,28,58,1,0,2,1,1
73,23,59,1,0,2,1,1
74,29,55,1,0,2,1,1
75,21,46,1,0,2,1,1
76,23,48,1,0,2,1,1
77,25,50,1,0,2,1,1
78,28,60,1,0,2,1,1
79,27,55,1,0,2,1,1
80,26,41,1,0,2,1,1
81,18,49,1,0,2,1,1
82,24,41,1,0,2,1,1
83,20,58,0,0,2,1,1
84,28,49,0,0,2,1,1
85,18,55,1,0,2,1,1
86,30,46,1,0,2,1,1
87,18,46,1,0,2,1,1
88,25,52,1,0,2,1,1
89,29,40,1,0,2,1,1
90,30,53,1,0,2,1,1
91,23,40,1,0,2,1,1
92,22,49,1,0,2,1,1
93,23,50,1,0,2,1,1
94,30,42,1,0,2,1,1
95,20,53,0,0,2,1,1
96,27,44,1,0,2,1,1
97,28,40,1,0,2,1,1
98,25,40,1,0,2,1,1
99,18,59,1,0,2,1,1
100,20,48,1,0,2,1,1
101,30,42,1,0,2,1,1
