,age,monthly_income,sex,education,product,quality,purchased
0,19,52,0,0,1,1,1
1,19,43,0,0,1,1,1
2,27,42,0,0,1,1,1
3,28,45,1,0,1,1,1
4,23,49,1,0,1,1,1
5,28,57,1,0,1,1,1
6,27,56,0,0,1,1,1
7,30,51,0,0,1,1,1
8,19,54,0,0,1,1,1
9,22,54,0,0,1,1,1
10,29,51,1,0,1,1,1
11,22,49,0,0,1,1,1
12,26,43,0,0,1,1,1
13,30,53,0,0,1,1,1
14,20,40,0,0,1,1,1
15,22,43,1,0,1,1,1
16,28,54,0,0,1,1,1
17,30,41,0,0,1,1,1
18,27,41,0,0,1,1,1
19,24,52,0,0,1,1,1
20,24,43,0,0,1,1,1
21,26,44,0,0,1,1,1
22,20,48,0,0,1,1,1
23,30,47,0,0,1,1,1
24,19,41,0,0,1,1,1
25,29,41,0,0,1,1,1
26,21,42,1,0,1,1,1
27,25,41,0,0,1,1,1
28,18,59,0,0,1,1,1
29,22,40,1,0,1,1,1
30,19,41,1,0,1,1,1
31,20,43,0,0,1,1,1
32,23,52,0,0,1,1,1
33,19,55,0,0,1,1,1
34,23,50,0,0,1,1,1
35,19,58,1,0,1,1,1
36,24,52,0,0,1,1,1
37,18,45,0,0,1,1,1
38,29,55,0,0,1,1,1
39,22,48,1,0,1,1,1
40,25,51,0,0,1,1,1
41,20,58,1,0,1,1,1
42,27,43,0,0,1,1,1
43,28,41,0,0,1,1,1
44,23,50,0,0,1,1,1
45,18,51,0,0,1,1,1
46,22,60,0,0,1,1,1
47,26,48,0,0,1,1,1
48,21,56,0,0,1,1,1
49,29,40,0,0,1,1,1
50,21,56,1,0,1,1,1
51,27,60,0,0,1,1,1
52,20,60,0,0,1,1,1
53,24,56,1,0,1,1,1
54,29,52,0,0,1,1,1
55,23,45,0,0,1,1,1
56,21,48,0,0,1,1,1
57,26,52,0,0,1,1,1
58,29,54,0,0,1,1,1
59,29,44,0,0,1,1,1
60,29,40,0,0,1,1,1
61,21,44,0,0,1,1,1
62,25,41,0,0,1,1,1
63,29,44,0,0,1,1,1
64,21,53,1,0,1,1,1
65,27,45,0,0,1,1,1
66,18,41,0,0,1,1,1
67,24,58,0,0,1,1,1
68,28,47,0,0,1,1,1
69,26,51,0,0,1,1,1
70,25,42,0,0,1,1,1
71,19,46,0,0,1,1,1
72,24,57,0,0,1,1,1
73,25,50,0,0,1,1,1
74,27,56,1,0,1,1,1
75,21,53,0,0,1,1,1
76,19,56,0,0,1,1,1
77,30,42,0,0,1,1,1
78,21,42,0,0,1,1,1
79,30,47,0,0,1,1,1
80,29,47,0,0,1,1,1
81,18,40,0,0,1,1,1
82,29,51,1,0,1,1,1
83,22,42,1,0,1,1,1
84,28,52,0,0,1,1,1
85,18,58,0,0,1,1,1
86,30,51,1,0,1,1,1
87,19,54,0,0,1,1,1
88,29,46,1,0,1,1,1
89,25,56,0,0,1,1,1
90,23,42,0,0,1,1,1
91,20,47,0,0,1,1,1
92,25,50,0,0,1,1,1
93,26,60,0,0,1,1,1
94,30,55,0,0,1,1,1
95,29,46,0,0,1,1,1
96,20,51,0,0,1,1,1
97,25,53,0,0,1,1,1
98,18,56,0,0,1,1,1
99,21,59,0,0,1,1,1
100,24,51,0,0,1,1,1
101,29,58,0,0,1,1,1
102,29,44,1,0,1,1,1
103,29,43,0,0,1,1,1
104,27,57,0,0,1,1,1
105,25,47,0,0,1,1,1
106,29,47,0,0,1,1,1
107,29,54,0,0,1,1,1
108,22,48,0,0,1,1,1
109,18,54,0,0,1,1,1
110,26,50,0,0,1,1,1
111,19,47,0,0,1,1,1
112,24,41,0,0,1,1,1
113,30,44,1,0,1,1,1
114,22,41,0,0,1,1,1
115,19,47,0,0,1,1,1
116,23,51,0,0,1,1,1
117,27,52,0,0,1,1,1
118,22,57,1,0,1,1,1
119,26,58,1,0,1,1,1
120,22,56,0,0,1,1,1
121,23,45,1,0,1,1,1
122,25,46,0,0,1,1,1
123,18,42,0,0,1,1,1
124,26,45,1,0,1,1,1
125,30,46,0,0,1,1,1
126,25,43,0,0,1,1,1
127,25,55,0,0,1,1,1
128,27,51,0,0,1,1,1
129,27,55,0,0,1,1,1
130,30,40,0,0,1,1,1
131,19,53,0,0,1,1,1
132,23,47,0,0,1,1,1
133,22,59,0,0,1,1,1
134,29,40,0,0,1,1,1
135,25,48,0,0,1,1,1
136,25,50,0,0,1,1,1
137,29,52,1,0,1,1,1
138,26,54,0,0,1,1,1
139,25,51,0,0,1,1,1
140,18,54,0,0,1,1,1
141,21,42,0,0,1,1,1
142,26,57,0,0,1,1,1
143,22,60,0,0,1,1,1
144,21,44,1,0,1,1,1
145,29,43,0,0,1,1,1
146,21,54,0,0,1,1,1
147,30,57,0,0,1,1,1
148,29,40,1,0,1,1,1
149,24,42,1,0,1,1,1
150,23,58,0,0,1,1,1
151,30,53,0,0,1,1,1
152,30,48,0,0,1,1,1
153,30,54,0,0,1,1,1
154,25,57,0,0,1,1,1
155,27,53,0,0,1,1,1
156,25,59,1,0,1,1,1
157,24,47,0,0,1,1,1
158,27,47,0,0,1,1,1
159,23,49,1,0,1,1,1
160,26,55,0,0,1,1,1
161,24,53,0,0,1,1,1
162,21,54,1,0,1,1,1
163,29,51,0,0,1,1,1
164,26,53,0,0,1,1,1
165,26,52,0,0,1,1,1
166,22,44,0,0,1,1,1
167,22,43,0,0,1,1,1
168,30,52,1,0,1,1,1
169,23,48,0,0,1,1,1
170,27,42,0,0,1,1,1
171,24,48,0,0,1,1,1
172,21,50,0,0,1,1,1
173,22,47,0,0,1,1,1
174,21,42,0,0,1,1,1
175,21,40,0,0,1,1,1
176,30,50,0,0,1,1,1
177,28,57,0,0,1,1,1
178,27,49,0,0,1,1,1
179,27,53,0,0,1,1,1
180,22,40,1,0,1,1,1
181,29,48,0,0,1,1,1
182,27,53,0,0,1,1,1
183,25,45,0,0,1,1,1
184,30,40,1,0,1,1,1
185,28,55,1,0,1,1,1
186,29,59,0,0,1,1,1
187,30,42,1,0,1,1,1
188,25,55,0,0,1,1,1
189,23,41,0,0,1,1,1
190,18,54,0,0,1,1,1
191,25,45,1,0,1,1,1
192,22,44,1,0,1,1,1
193,21,54,0,0,1,1,1
194,24,57,0,0,1,1,1
195,23,44,0,0,1,1,1
196,27,47,0,0,1,1,1
197,28,49,0,0,1,1,1
198,28,46,0,0,1,1,1
199,28,49,0,0,1,1,1
200,24,42,1,0,1,1,1
201,20,56,1,0,1,1,1
202,19,41,1,0,1,1,1
203,28,49,0,0,1,1,1
204,25,50,0,0,1,1,1
205,23,52,0,0,1,1,1
206,21,44,0,0,1,1,1
207,19,44,0,0,1,1,1
208,25,49,1,0,1,1,1
209,18,56,0,0,1,1,1
210,28,43,0,0,1,1,1
211,23,56,0,0,1,1,1
212,22,45,0,0,1,1,1
213,23,59,0,0,1,1,1
214,21,48,0,0,1,1,1
215,24,50,0,0,1,1,1
216,20,54,0,0,1,1,1
217,26,43,0,0,1,1,1
218,22,57,0,0,1,1,1
219,30,52,0,0,1,1,1
220,28,45,0,0,1,1,1
221,22,40,0,0,1,1,1
222,22,46,1,0,1,1,1
223,29,48,0,0,1,1,1
224,30,54,0,0,1,1,1
225,18,57,0,0,1,1,1
226,26,47,0,0,1,1,1
227,28,58,0,0,1,1,1
228,30,47,1,0,1,1,1
229,30,45,1,0,1,1,1
230,28,45,0,0,1,1,1
231,20,60,0,0,1,1,1
232,25,55,0,0,1,1,1
233,20,47,0,0,1,1,1
234,18,42,1,0,1,1,1
235,28,52,1,0,1,1,1
236,20,57,0,0,1,1,1
237,29,55,0,0,1,1,1
238,23,50,0,0,1,1,1
239,24,57,0,0,1,1,1
240,21,43,0,0,1,1,1
241,26,59,1,0,1,1,1
242,25,58,0,0,1,1,1
243,20,59,1,0,1,1,1
244,28,48,0,0,1,1,1
245,20,51,0,0,1,1,1
246,21,46,0,0,1,1,1
247,18,58,1,0,1,1,1
248,24,55,0,0,1,1,1
249,19,57,0,0,1,1,1
250,19,63,1,1,1,1,1
251,18,78,0,1,1,1,1
252,23,65,0,1,1,1,1
253,21,71,0,1,1,1,1
254,25,78,0,1,1,1,1
255,26,63,0,1,1,1,1
256,25,78,0,1,1,1,1
257,21,60,0,1,1,1,1
258,18,74,0,1,1,1,1
259,18,63,0,1,1,1,1
260,28,60,0,1,1,1,1
261,30,77,1,1,1,1,1
262,29,72,1,1,1,1,1
263,21,75,0,1,1,1,1
264,25,65,0,1,1,1,1
265,22,79,0,1,1,1,1
266,20,67,0,1,1,1,1
267,19,74,1,1,1,1,1
268,20,61,0,1,1,1,1
269,21,69,0,1,1,1,1
270,18,75,1,1,1,1,1
271,22,64,0,1,1,1,1
272,21,62,0,1,1,1,1
273,20,60,0,1,1,1,1
274,30,67,0,1,1,1,1
275,27,65,0,1,1,1,1
276,18,75,0,1,1,1,1
277,24,64,0,1,1,1,1
278,26,60,0,1,1,1,1
279,29,80,1,1,1,1,1
280,30,80,0,1,1,1,1
281,29,63,1,1,1,1,1
282,26,66,1,1,1,1,1
283,19,61,0,1,1,1,1
284,19,66,0,1,1,1,1
285,26,75,0,1,1,1,1
286,20,66,0,1,1,1,1
287,29,75,0,1,1,1,1
288,21,74,0,1,1,1,1
289,22,62,0,1,1,1,1
290,24,62,0,1,1,1,1
291,22,61,0,1,1,1,1
292,22,63,0,1,1,1,1
293,26,66,0,1,1,1,1
294,23,76,0,1,1,1,1
295,21,76,0,1,1,1,1
296,30,78,0,1,1,1,1
297,28,68,0,1,1,1,1
298,25,71,0,1,1,1,1
299,24,66,0,1,1,1,1
300,25,61,1,1,1,1,1
301,19,69,0,1,1,1,1
302,28,72,0,1,1,1,1
303,24,60,1,1,1,1,1
304,25,80,0,1,1,1,1
305,18,78,0,1,1,1,1
306,18,64,0,1,1,1,1
307,25,61,0,1,1,1,1
308,23,69,0,1,1,1,1
309,21,60,0,1,1,1,1
310,29,73,0,1,1,1,1
311,19,77,0,1,1,1,1
312,20,60,0,1,1,1,1
313,29,67,1,1,1,1,1
314,20,62,0,1,1,1,1
315,18,60,0,1,1,1,1
316,27,67,0,1,1,1,1
317,22,78,0,1,1,1,1
318,21,70,0,1,1,1,1
319,23,76,0,1,1,1,1
320,29,79,1,1,1,1,1
321,27,78,0,1,1,1,1
322,18,62,0,1,1,1,1
323,20,65,0,1,1,1,1
324,28,75,0,1,1,1,1
325,20,69,0,1,1,1,1
326,26,75,0,1,1,1,1
327,22,65,0,1,1,1,1
328,20,75,0,1,1,1,1
329,23,63,0,1,1,1,1
330,20,64,0,1,1,1,1
331,28,60,0,1,1,1,1
332,20,66,1,1,1,1,1
333,19,73,0,1,1,1,1
334,20,71,0,1,1,1,1
335,24,74,1,1,1,1,1
336,19,78,0,1,1,1,1
337,28,60,0,1,1,1,1
338,29,62,0,1,1,1,1
339,22,80,0,1,1,1,1
340,27,76,0,1,1,1,1
341,19,78,0,1,1,1,1
342,23,71,1,1,1,1,1
343,22,71,0,1,1,1,1
344,26,71,0,1,1,1,1
345,30,70,0,1,1,1,1
346,27,78,0,1,1,1,1
347,27,62,0,1,1,1,1
348,29,71,0,1,1,1,1
349,20,63,1,1,1,1,1
350,25,61,0,1,1,1,1
351,23,70,0,1,1,1,1
352,30,72,1,1,1,1,1
353,27,62,0,1,1,1,1
354,20,64,0,1,1,1,1
355,27,77,0,1,1,1,1
356,24,72,0,1,1,1,1
357,27,79,1,1,1,1,1
358,23,78,0,1,1,1,1
359,21,61,1,1,1,1,1
360,27,76,0,1,1,1,1
361,30,62,0,1,1,1,1
362,18,66,1,1,1,1,1
363,22,68,0,1,1,1,1
364,28,78,0,1,1,1,1
365,25,71,0,1,1,1,1
366,29,74,1,1,1,1,1
367,26,78,0,1,1,1,1
368,27,67,0,1,1,1,1
369,21,68,0,1,1,1,1
370,23,69,0,1,1,1,1
371,22,63,1,1,1,1,1
372,20,70,0,1,1,1,1
373,26,79,0,1,1,1,1
374,22,69,0,1,1,1,1
375,22,74,1,1,1,1,1
376,21,71,1,1,1,1,1
377,27,74,0,1,1,1,1
378,19,61,0,1,1,1,1
379,24,70,0,1,1,1,1
380,29,77,1,1,1,1,1
381,21,66,0,1,1,1,1
382,24,65,0,1,1,1,1
383,18,68,0,1,1,1,1
384,21,60,0,1,1,1,1
385,30,71,1,1,1,1,1
386,30,62,0,1,1,1,1
387,25,68,1,1,1,1,1
