,Unnamed: 0,age,monthly_income,sex,education,product,quality,purchased
0,0,22,59,0,0,3,1,1
1,1,24,48,0,0,3,1,1
2,2,23,58,0,0,3,1,1
3,3,28,58,0,0,3,1,1
4,4,27,43,0,0,3,1,1
5,5,24,56,0,0,3,1,1
6,6,24,44,0,0,3,1,1
7,7,27,54,0,0,3,1,1
8,8,28,54,0,0,3,1,1
9,9,24,48,0,0,3,1,1
10,10,23,44,0,0,3,1,1
11,11,19,49,0,0,3,1,1
12,12,29,58,0,0,3,1,1
13,13,20,44,0,0,3,1,1
14,14,24,48,0,0,3,1,1
15,15,26,58,0,0,3,1,1
16,16,29,40,0,0,3,1,1
17,17,25,48,0,0,3,1,1
18,18,29,47,0,0,3,1,1
19,19,20,43,0,0,3,1,1
20,20,21,57,0,0,3,1,1
21,21,18,44,0,0,3,1,1
22,22,30,41,0,0,3,1,1
23,23,22,55,0,0,3,1,1
24,24,26,59,0,0,3,1,1
25,25,30,60,0,0,3,1,1
26,26,24,48,0,0,3,1,1
27,27,27,47,0,0,3,1,1
28,28,27,60,0,0,3,1,1
29,29,24,44,0,0,3,1,1
30,30,19,49,0,0,3,1,1
31,31,23,50,0,0,3,1,1
32,32,21,58,0,0,3,1,1
33,33,28,46,0,0,3,1,1
34,34,25,45,0,0,3,1,1
35,35,29,40,0,0,3,1,1
36,36,22,56,0,0,3,1,1
37,37,24,59,0,0,3,1,1
38,38,22,41,0,0,3,1,1
39,39,27,53,0,0,3,1,1
40,40,23,45,0,0,3,1,1
41,41,27,53,0,0,3,1,1
42,42,24,43,0,0,3,1,1
43,43,19,48,0,0,3,1,1
44,44,26,47,0,0,3,1,1
45,45,19,41,0,0,3,1,1
46,46,19,57,0,0,3,1,1
47,47,28,50,0,0,3,1,1
48,48,24,43,0,0,3,1,1
49,49,18,48,0,0,3,1,1
50,50,29,46,0,0,3,1,1
51,51,19,60,0,0,3,1,1
52,52,24,46,0,0,3,1,1
53,53,20,43,0,0,3,1,1
54,54,21,47,1,0,3,1,1
55,55,30,45,1,0,3,1,1
56,56,21,53,0,0,3,1,1
57,57,19,60,0,0,3,1,1
58,58,27,50,0,0,3,1,1
59,59,24,55,0,0,3,1,1
60,60,18,52,0,0,3,1,1
61,61,18,51,0,0,3,1,1
62,62,27,53,0,0,3,1,1
63,63,26,43,0,0,3,1,1
