,Unnamed: 0,Unnamed: 0.1,age,monthly_income,sex,education,product,quality,purchased
0,0,0,22,51,1,0,2,1,1
1,1,1,21,55,0,0,2,1,1
2,2,2,30,49,0,0,2,1,1
3,3,3,25,42,0,0,2,1,1
4,4,4,28,56,0,0,2,1,1
5,5,5,30,44,0,0,2,1,1
6,6,6,23,43,0,0,2,1,1
7,7,7,26,55,0,0,2,1,1
8,8,8,27,59,0,0,2,1,1
9,9,9,24,57,0,0,2,1,1
10,10,10,22,49,0,0,2,1,1
11,11,11,22,55,0,0,2,1,1
12,12,12,22,51,0,0,2,1,1
13,13,13,30,47,0,0,2,1,1
14,14,14,22,49,0,0,2,1,1
15,15,15,29,52,0,0,2,1,1
16,16,16,27,58,0,0,2,1,1
17,17,17,25,44,0,0,2,1,1
18,18,18,21,53,0,0,2,1,1
19,19,19,28,52,1,0,2,1,1
20,20,20,30,50,0,0,2,1,1
21,21,21,29,52,0,0,2,1,1
22,22,22,25,56,0,0,2,1,1
23,23,23,30,43,0,0,2,1,1
24,24,24,18,51,0,0,2,1,1
25,25,25,22,60,1,0,2,1,1
26,26,26,27,54,0,0,2,1,1
27,27,27,25,45,1,0,2,1,1
28,28,28,24,59,0,0,2,1,1
29,29,29,25,55,0,0,2,1,1
30,30,30,20,50,0,0,2,1,1
31,31,31,18,48,1,0,2,1,1
32,32,32,28,57,0,0,2,1,1
33,33,33,23,46,0,0,2,1,1
34,34,34,27,47,0,0,2,1,1
35,35,35,22,46,0,0,2,1,1
36,36,36,26,56,0,0,2,1,1
37,37,37,25,45,0,0,2,1,1
38,38,38,25,50,0,0,2,1,1
39,39,39,24,49,0,0,2,1,1
40,40,40,27,49,0,0,2,1,1
41,41,41,23,53,0,0,2,1,1
42,42,42,27,47,0,0,2,1,1
43,43,43,24,43,0,0,2,1,1
44,44,44,29,59,1,0,2,1,1
45,45,45,26,59,0,0,2,1,1
46,46,46,19,58,1,0,2,1,1
47,47,47,25,58,0,0,2,1,1
48,48,48,22,48,0,0,2,1,1
49,49,49,30,53,0,0,2,1,1
50,50,50,27,52,0,0,2,1,1
51,51,51,26,48,0,0,2,1,1
52,52,52,28,60,0,0,2,1,1
53,53,53,19,40,0,0,2,1,1
54,54,54,21,48,0,0,2,1,1
55,55,55,23,44,0,0,2,1,1
56,56,56,30,40,0,0,2,1,1
57,57,57,27,53,0,0,2,1,1
58,58,58,18,55,0,0,2,1,1
59,59,59,28,56,0,0,2,1,1
60,60,60,30,54,0,0,2,1,1
61,61,61,30,43,0,0,2,1,1
62,62,62,24,57,0,0,2,1,1
63,63,63,19,59,0,0,2,1,1
64,64,64,25,50,0,0,2,1,1
65,65,65,22,45,0,0,2,1,1
66,66,66,23,46,1,0,2,1,1
67,67,67,18,47,0,0,2,1,1
68,68,68,22,46,1,0,2,1,1
69,69,69,30,51,0,0,2,1,1
70,70,70,26,56,0,0,2,1,1
71,71,71,26,54,0,0,2,1,1
72,72,72,21,41,0,0,2,1,1
73,73,73,24,44,1,0,2,1,1
74,74,74,28,43,1,0,2,1,1
75,75,75,30,47,0,0,2,1,1
76,76,76,21,45,1,0,2,1,1
77,77,77,25,50,1,0,2,1,1
78,78,78,25,45,0,0,2,1,1
79,79,79,25,52,0,0,2,1,1
80,80,80,22,56,0,0,2,1,1
81,81,81,23,42,0,0,2,1,1
82,82,82,21,51,0,0,2,1,1
83,83,83,19,52,0,0,2,1,1
84,84,84,21,51,0,0,2,1,1
85,85,85,28,56,0,0,2,1,1
86,86,86,25,53,0,0,2,1,1
87,87,87,25,43,0,0,2,1,1
88,88,88,23,48,0,0,2,1,1
89,89,89,27,50,0,0,2,1,1
90,90,90,23,60,0,0,2,1,1
91,91,91,21,50,0,0,2,1,1
92,92,92,19,43,0,0,2,1,1
93,93,93,22,59,0,0,2,1,1
94,94,94,19,47,1,0,2,1,1
95,95,95,27,40,1,0,2,1,1
96,96,96,18,55,1,0,2,1,1
97,97,97,25,43,1,0,2,1,1
98,98,98,30,55,1,0,2,1,1
99,99,99,26,53,0,0,2,1,1
100,100,100,21,63,0,0,2,1,1
101,101,101,24,77,0,0,2,1,1
102,102,102,20,62,1,0,2,1,1
103,103,103,24,74,0,0,2,1,1
104,104,104,21,66,0,0,2,1,1
105,105,105,30,65,0,0,2,1,1
106,106,106,28,61,1,0,2,1,1
107,107,107,23,78,0,0,2,1,1
108,108,108,30,61,1,0,2,1,1
109,109,109,27,77,0,0,2,1,1
110,110,110,20,70,1,0,2,1,1
111,111,111,19,79,0,0,2,1,1
112,112,112,21,79,1,0,2,1,1
113,113,113,24,65,0,0,2,1,1
114,114,114,23,68,0,0,2,1,1
115,115,115,22,73,0,0,2,1,1
116,116,116,18,73,0,0,2,1,1
117,117,117,25,73,1,0,2,1,1
118,118,118,21,62,0,0,2,1,1
119,119,119,30,80,0,0,2,1,1
120,120,120,23,75,0,0,2,1,1
121,121,121,30,79,0,0,2,1,1
122,122,122,22,71,0,0,2,1,1
123,123,123,18,63,0,0,2,1,1
124,124,124,27,72,0,0,2,1,1
125,125,125,29,71,0,0,2,1,1
126,126,126,21,78,1,0,2,1,1
127,127,127,23,68,0,0,2,1,1
128,128,128,25,69,1,0,2,1,1
129,129,129,28,78,1,0,2,1,1
130,130,130,20,64,0,0,2,1,1
131,131,131,20,65,0,0,2,1,1
132,132,132,24,80,0,0,2,1,1
133,133,133,27,69,0,0,2,1,1
134,134,134,18,71,0,0,2,1,1
135,135,135,20,78,0,0,2,1,1
136,136,136,27,68,1,0,2,1,1
137,137,137,29,60,1,0,2,1,1
138,138,138,19,80,0,0,2,1,1
139,139,139,22,61,1,0,2,1,1
140,140,140,29,79,0,0,2,1,1
141,141,141,29,80,0,0,2,1,1
142,142,142,20,77,0,0,2,1,1
143,143,143,23,61,0,0,2,1,1
144,144,144,28,80,0,0,2,1,1
145,145,145,27,78,0,0,2,1,1
146,146,146,21,68,0,0,2,1,1
147,147,147,28,67,0,0,2,1,1
148,148,148,25,66,0,0,2,1,1
149,149,149,20,65,0,0,2,1,1
150,150,150,30,67,0,0,2,1,1
151,151,151,23,78,1,0,2,1,1
152,152,152,21,69,0,0,2,1,1
153,153,153,26,61,0,0,2,1,1
154,154,154,19,61,1,0,2,1,1
155,155,155,19,67,1,0,2,1,1
156,156,156,24,64,1,0,2,1,1
157,157,157,25,78,0,0,2,1,1
158,158,158,30,70,0,0,2,1,1
159,159,159,23,69,0,0,2,1,1
160,160,160,25,62,0,0,2,1,1
161,161,161,19,62,0,0,2,1,1
162,162,162,18,69,1,0,2,1,1
163,163,163,19,74,0,0,2,1,1
164,164,164,19,60,0,0,2,1,1
165,165,165,22,79,0,0,2,1,1
166,166,166,30,60,0,0,2,1,1
167,167,167,28,64,1,0,2,1,1
168,168,168,19,67,0,0,2,1,1
169,169,169,27,71,0,0,2,1,1
170,170,170,30,65,0,0,2,1,1
171,171,171,25,69,0,0,2,1,1
172,172,172,27,77,0,0,2,1,1
173,173,173,27,75,0,0,2,1,1
174,174,174,20,74,1,0,2,1,1
175,175,175,30,71,0,0,2,1,1
176,176,176,20,70,0,0,2,1,1
177,177,177,22,77,0,0,2,1,1
178,178,178,22,75,0,0,2,1,1
179,179,179,20,76,0,0,2,1,1
180,180,180,21,64,0,0,2,1,1
181,181,181,25,76,0,0,2,1,1
