,Unnamed: 0,age,monthly_income,sex,education,product,quality,purchased
0,0,18,42,1,0,5,1,1
1,1,28,47,1,0,5,1,1
2,2,25,40,1,0,5,1,1
3,3,28,53,1,0,5,1,1
4,4,29,51,1,0,5,1,1
5,5,21,59,1,0,5,1,1
6,6,19,56,1,0,5,1,1
7,7,18,48,0,0,5,1,1
8,8,28,52,1,0,5,1,1
9,9,29,43,1,0,5,1,1
10,10,23,58,1,0,5,1,1
11,11,19,52,1,0,5,1,1
12,12,21,55,1,0,5,1,1
13,13,24,41,1,0,5,1,1
14,14,19,40,1,0,5,1,1
15,15,18,47,1,0,5,1,1
16,16,27,59,1,0,5,1,1
17,17,21,45,0,0,5,1,1
18,18,23,54,1,0,5,1,1
19,19,21,58,1,0,5,1,1
20,20,21,44,1,0,5,1,1
21,21,19,40,1,0,5,1,1
22,22,27,42,1,0,5,1,1
23,23,25,44,1,0,5,1,1
24,24,25,43,1,0,5,1,1
25,25,28,49,1,0,5,1,1
26,26,20,57,1,0,5,1,1
27,27,25,60,1,0,5,1,1
28,28,21,51,0,0,5,1,1
29,29,26,43,1,0,5,1,1
30,30,19,46,1,0,5,1,1
31,31,27,57,1,0,5,1,1
32,32,19,56,1,0,5,1,1
33,33,18,44,1,0,5,1,1
34,34,21,52,1,0,5,1,1
35,35,19,52,1,0,5,1,1
36,36,19,49,1,0,5,1,1
37,37,29,43,1,0,5,1,1
38,38,22,41,1,0,5,1,1
39,39,27,58,1,0,5,1,1
40,40,26,55,1,0,5,1,1
41,41,25,47,1,0,5,1,1
42,42,19,42,1,0,5,1,1
43,43,29,58,1,0,5,1,1
44,44,19,41,1,0,5,1,1
45,45,23,49,1,0,5,1,1
46,46,21,58,1,0,5,1,1
47,47,28,51,1,0,5,1,1
48,48,27,55,1,0,5,1,1
49,49,21,45,1,0,5,1,1
50,50,18,56,1,0,5,1,1
51,51,26,60,1,0,5,1,1
52,52,27,58,1,0,5,1,1
53,53,19,51,1,0,5,1,1
54,54,20,54,1,0,5,1,1
55,55,20,45,1,0,5,1,1
56,56,22,51,1,0,5,1,1
57,57,25,60,1,0,5,1,1
58,58,21,54,0,0,5,1,1
59,59,25,42,1,0,5,1,1
60,60,30,54,1,0,5,1,1
61,61,19,45,1,0,5,1,1
62,62,29,43,1,0,5,1,1
63,63,18,59,1,0,5,1,1
64,64,22,46,1,0,5,1,1
65,65,25,45,1,0,5,1,1
66,66,24,51,0,0,5,1,1
67,67,19,55,1,0,5,1,1
68,68,22,59,1,0,5,1,1
69,69,21,45,1,0,5,1,1
70,70,21,50,1,0,5,1,1
71,71,28,49,1,0,5,1,1
72,72,27,60,1,0,5,1,1
73,73,23,43,1,0,5,1,1
74,74,26,56,1,0,5,1,1
75,75,21,48,1,0,5,1,1
76,76,21,54,1,0,5,1,1
77,77,19,44,0,0,5,1,1
78,78,18,40,1,0,5,1,1
79,79,22,46,1,0,5,1,1
80,80,25,48,1,0,5,1,1
81,81,25,43,1,0,5,1,1
82,82,28,49,1,0,5,1,1
83,83,29,41,1,0,5,1,1
84,84,18,51,1,0,5,1,1
85,85,29,54,1,0,5,1,1
86,86,30,60,1,0,5,1,1
87,87,20,51,1,0,5,1,1
88,88,29,52,1,0,5,1,1
89,89,19,57,1,0,5,1,1
90,90,28,55,1,0,5,1,1
91,91,23,42,1,0,5,1,1
92,92,22,55,1,0,5,1,1
93,93,21,54,1,0,5,1,1
94,94,20,40,1,0,5,1,1
95,95,23,41,1,0,5,1,1
96,96,25,56,1,0,5,1,1
97,97,18,59,1,0,5,1,1
98,98,28,52,1,0,5,1,1
99,99,21,54,1,0,5,1,1
100,100,30,59,0,0,5,1,1
101,101,23,54,1,0,5,1,1
102,102,20,60,1,0,5,1,1
103,103,29,59,1,0,5,1,1
104,104,27,49,1,0,5,1,1
105,105,21,49,0,0,5,1,1
106,106,25,48,1,0,5,1,1
107,107,29,56,1,0,5,1,1
108,108,24,49,1,0,5,1,1
109,109,27,40,1,0,5,1,1
110,110,26,57,1,0,5,1,1
111,111,18,45,1,0,5,1,1
112,112,19,55,1,0,5,1,1
113,113,27,46,1,0,5,1,1
114,114,27,42,1,0,5,1,1
115,115,24,43,1,0,5,1,1
116,116,26,42,1,0,5,1,1
117,117,29,40,1,0,5,1,1
118,118,24,45,1,0,5,1,1
119,119,24,41,1,0,5,1,1
120,120,29,57,1,0,5,1,1
121,121,20,44,1,0,5,1,1
122,122,24,52,1,0,5,1,1
123,123,18,49,1,0,5,1,1
124,124,28,55,1,0,5,1,1
125,125,22,49,1,0,5,1,1
126,126,25,50,1,0,5,1,1
127,127,18,48,1,0,5,1,1
128,128,18,50,1,0,5,1,1
129,129,30,54,1,0,5,1,1
130,130,28,51,1,0,5,1,1
131,131,25,47,1,0,5,1,1
132,132,21,45,1,0,5,1,1
133,133,22,40,0,0,5,1,1
134,134,27,57,0,0,5,1,1
135,135,25,52,0,0,5,1,1
136,136,29,40,1,0,5,1,1
137,137,23,49,1,0,5,1,1
138,138,30,41,1,0,5,1,1
139,139,18,58,1,0,5,1,1
140,140,25,50,1,0,5,1,1
141,141,20,41,1,0,5,1,1
142,142,19,44,1,0,5,1,1
143,143,24,42,1,0,5,1,1
144,144,29,54,1,0,5,1,1
145,145,25,47,1,0,5,1,1
146,146,23,55,1,0,5,1,1
147,147,30,51,0,0,5,1,1
148,148,18,50,1,0,5,1,1
149,149,23,59,1,0,5,1,1
150,150,23,51,1,0,5,1,1
151,151,23,60,1,0,5,1,1
152,152,21,44,1,0,5,1,1
153,153,24,56,1,0,5,1,1
154,154,21,45,0,0,5,1,1
155,155,29,40,1,0,5,1,1
156,156,24,46,1,0,5,1,1
157,157,24,52,1,0,5,1,1
158,158,22,51,1,0,5,1,1
159,159,24,56,0,0,5,1,1
160,160,26,60,0,0,5,1,1
161,161,27,46,1,0,5,1,1
162,162,28,55,1,0,5,1,1
163,163,29,50,1,0,5,1,1
164,164,24,47,1,0,5,1,1
165,165,18,55,1,0,5,1,1
