,Unnamed: 0,age,monthly_income,sex,education,product,quality,purchased
0,0,25,49,1,0,1,1,1
1,1,23,50,1,0,1,1,1
2,2,21,43,1,0,1,1,1
3,3,24,48,0,0,1,1,1
4,4,30,49,0,0,1,1,1
5,5,23,46,0,0,1,1,1
6,6,23,54,1,0,1,1,1
7,7,24,50,0,0,1,1,1
8,8,20,56,1,0,1,1,1
9,9,21,44,0,0,1,1,1
10,10,19,53,0,0,1,1,1
11,11,24,46,0,0,1,1,1
12,12,25,46,0,0,1,1,1
13,13,28,55,0,0,1,1,1
14,14,29,48,0,0,1,1,1
15,15,21,58,0,0,1,1,1
16,16,28,41,0,0,1,1,1
17,17,24,52,0,0,1,1,1
18,18,28,42,1,0,1,1,1
19,19,22,50,0,0,1,1,1
20,20,24,41,0,0,1,1,1
21,21,22,50,0,0,1,1,1
22,22,18,60,0,0,1,1,1
23,23,18,47,1,0,1,1,1
24,24,28,47,0,0,1,1,1
25,25,25,42,0,0,1,1,1
26,26,24,45,1,0,1,1,1
27,27,24,53,1,0,1,1,1
28,28,28,56,0,0,1,1,1
29,29,25,59,0,0,1,1,1
30,30,20,46,0,0,1,1,1
31,31,23,51,1,0,1,1,1
32,32,22,48,0,0,1,1,1
33,33,25,57,1,0,1,1,1
34,34,27,41,1,0,1,1,1
35,35,22,42,1,0,1,1,1
36,36,30,50,1,0,1,1,1
37,37,19,41,1,0,1,1,1
38,38,19,53,0,0,1,1,1
39,39,28,43,0,0,1,1,1
40,40,29,56,1,0,1,1,1
41,41,21,53,1,0,1,1,1
42,42,28,59,0,0,1,1,1
43,43,30,52,1,0,1,1,1
44,44,23,40,1,0,1,1,1
45,45,29,44,1,0,1,1,1
46,46,20,40,1,0,1,1,1
47,47,23,53,1,0,1,1,1
48,48,27,60,1,0,1,1,1
49,49,23,40,0,0,1,1,1
50,50,26,55,0,0,1,1,1
51,51,28,48,0,0,1,1,1
52,52,26,48,1,0,1,1,1
53,53,24,48,1,0,1,1,1
54,54,25,46,0,0,1,1,1
55,55,20,46,0,0,1,1,1
56,56,18,45,0,0,1,1,1
57,57,19,42,0,0,1,1,1
58,58,20,51,0,0,1,1,1
59,59,29,41,1,0,1,1,1
60,60,22,47,0,0,1,1,1
61,61,21,44,0,0,1,1,1
62,62,26,51,1,0,1,1,1
63,63,23,55,0,0,1,1,1
64,64,25,48,0,0,1,1,1
65,65,29,54,0,0,1,1,1
66,66,20,60,0,0,1,1,1
67,67,19,51,0,0,1,1,1
68,68,27,51,0,0,1,1,1
69,69,26,51,0,0,1,1,1
70,70,25,47,1,0,1,1,1
71,71,20,41,1,0,1,1,1
72,72,20,60,1,0,1,1,1
73,73,25,50,0,0,1,1,1
74,74,20,40,1,0,1,1,1
75,75,19,46,0,0,1,1,1
76,76,18,48,1,0,1,1,1
77,77,25,53,1,0,1,1,1
78,78,27,55,1,0,1,1,1
79,79,30,52,1,0,1,1,1
